YYYY,@YYYY,ownerDate,cashDividendDate,price,priceBackDate,backDays,giveDate,stockDividendDate,@price,@priceBackDate,@priceBackDays,cashDividend,shareCashDividend,cashDividendTotal,stockDividend,shareStockDividend,stockDividendTotal,dividendTotal
2023,2022全年,23'05/26,,,,,,,,,,4.702,0,4.702,0,0,0,4.702
2022,2021全年,22'05/27,22'06/30,126,,,22'08/05,,,,,4.608,0,4.608,0,0,0,4.608
2021,2020全年,21'05/28,21'08/25,111,21'12/21,82,21'09/28,,,,,4.306,0,4.306,0,0,0,4.306
2020,2019全年,20'05/29,20'07/02,112.5,21'07/29,265,20'08/06,,,,,4.226,0,4.226,0,0,0,4.226
2019,2018全年,19'06/21,19'07/25,107.5,19'09/18,38,19'08/28,,,,,4.479,0,4.479,0,0,0,4.479
2018,2017全年,18'06/15,18'07/23,106.5,18'12/28,114,18'08/24,,,,,4.796,0,4.796,0,0,0,4.796
2017,2016全年,17'06/23,17'07/21,104.5,18'01/10,121,17'08/25,,,,,4.942,0,4.942,0,0,0,4.942
2016,2015全年,16'06/24,16'07/21,117.5,22'02/18,1365,16'08/26,,,,,5.485,0,5.485,0,0,0,5.485
2015,2014全年,15'06/26,15'07/16,93.3,15'08/04,14,15'08/27,,,,,4.856,0,4.856,0,0,0,4.856
2014,2013全年,14'06/24,14'07/17,91.1,15'01/23,133,,,,,,2.388,2.137,4.525,0,0,0,4.525
2013,2012全年,13'06/25,13'07/17,94.5,15'03/26,417,,,,,,4.63,0.72,5.35,0,0,0,5.35
2012,2011全年,12'06/22,12'07/17,88.3,12'09/28,53,,,,,,5.461,0,5.461,0,0,0,5.461
2011,2010全年,11'06/24,11'07/21,104.5,16'03/24,1155,,,,,,5.524,0,5.524,0,0,0,5.524
2010,2009全年,10'06/18,10'08/12,63.6,10'09/09,21,,,,,,4.06,0,4.06,0,0,0,4.06
2009,2008全年,09'06/19,09'08/03,56.3,10'07/06,219,,09'08/03,56.3,10'07/06,219,3.83,0,3.83,0,1,1,4.83
2008,2007全年,08'08/14,08'10/17,48.5,09'03/20,91,,08'10/17,48.5,09'03/20,91,4.26,0,4.26,0.1,2,2.1,6.36
2007,2006全年,07'06/15,07'07/26,57.8,08'01/09,104,,07'07/26,57.8,08'01/09,104,3.58,0,3.58,0,1,1,4.58
2006,2005全年,06'05/30,06'08/10,55.4,07'01/02,101,,06'08/10,55.4,07'01/02,101,4.3,0,4.3,0.2,0,0.2,4.5
2005,2004全年,05'06/21,05'08/11,57.8,07'01/29,368,,,,,,4.7,0,4.7,0,0,0,4.7
2004,2003全年,04'06/25,04'07/13,53.5,04'10/04,57,,,,,,4.5,0,4.5,0,0,0,4.5
2003,2002全年,03'06/17,03'07/30,48.5,03'10/14,53,,,,,,4,0,4,0,0,0,4
2002,2001全年,02'06/21,02'07/10,51.5,03'01/21,137,,,,,,3.5,0,3.5,0,0,0,3.5
2001,2000全年,01'06/04,01'06/22,52.7,03'02/07,399,,,,,,5.8,0,5.8,0,0,0,5.8
2000,1999全年,,,,,,,,,,,4.76,0,4.76,0,0,0,4.76
1999,1998全年,,,,,,,,,,,4.99,0,4.99,0,0,0,4.99
1998,1997全年,,,,,,,,,,,4.06,0,4.06,0,0,0,4.06
