YYYY,@YYYY,ownerDate,cashDividendDate,price,priceBackDate,backDays,giveDate,stockDividendDate,@price,@priceBackDate,@priceBackDays,cashDividend,shareCashDividend,cashDividendTotal,stockDividend,shareStockDividend,stockDividendTotal,dividendTotal
2022,2022下半年,,22'11/16,64.75,22'07/20,3,22'12/19,,,,,1.03,0,1.03,0,0,0,1.03
2022,2022上半年,,22'07/18,65.55,22'07/20,3,22'08/18,,,,,1.248,0,1.248,0,0,0,1.248
2021,2021下半年,,21'11/16,79.25,21'11/19,4,21'12/17,,,,,1.641,0,1.641,0,0,0,1.641
2021,2021上半年,,21'07/16,80.95,21'09/03,36,21'08/18,,,,,0.314,0,0.314,0,0,0,0.314
2020,2020下半年,,20'11/17,63.35,20'11/17,1,20'12/18,,,,,1.139,0,1.139,0,0,0,1.139
2020,2020上半年,,20'07/21,55.0,20'07/21,1,20'08/27,,,,,0.481,0,0.481,0,0,0,0.481
2019,2019下半年,,19'11/20,51.95,19'12/12,17,19'12/30,,,,,1.138,0,1.138,0,0,0,1.138
2019,2019上半年,,19'07/18,46.74,19'07/23,4,19'08/27,,,,,0.661,0,0.661,0,0,0,0.661
2018,2018下半年,,18'11/29,42.61,19'03/18,68,18'12/28,,,,,2.0,0,2.0,0,0,0,2.0
2018,2018上半年,,18'07/26,48.43,18'07/26,1,18'08/31,,,,,0.65,0,0.65,0,0,0,0.65
2017,2017下半年,,17'11/30,47.48,18'01/19,36,17'12/29,,,,,1.65,0,1.65,0,0,0,1.65
2017,2017上半年,,17'07/27,47.6,17'08/07,8,17'09/01,,,,,1.0,0,1.0,0,0,0,1.0
2016,2016全年,,16'08/02,39.75,16'08/02,1,16'09/01,,,,,0.043,0,0.043,0,0,0,0.043
2015,2015全年,,15'10/29,36.49,16'07/01,165,15'12/02,,,,,0.845,0,0.845,0,0,0,0.845
2014,2014全年,,14'10/29,36.19,14'10/29,1,14'12/02,,,,,1.212,0,1.212,0,0,0,1.212
2013,2013全年,,13'10/30,32.32,13'10/30,1,13'12/02,,,,,0.629,0,0.629,0,0,0,0.629
2012,2012全年,,12'11/01,28.58,12'11/30,22,12'12/03,,,,,1.844,0,1.844,0,0,0,1.844
