YYYY,@YYYY,ownerDate,cashDividendDate,price,priceBackDate,backDays,giveDate,stockDividendDate,@price,@priceBackDate,@priceBackDays,cashDividend,shareCashDividend,cashDividendTotal,stockDividend,shareStockDividend,stockDividendTotal,dividendTotal
2023,2023Q1,,,,,,,,,,,1.16,0,1.16,0,0,0,1.16
2023,2022Q4,,,,,,,,,,,2.25,0,2.25,0,0,0,2.25
2023,2022Q3,,23'03/15,147,23'04/12,18,23'04/14,,,,,2.25,0,2.25,0,0,0,2.25
2022,2022Q2,,22'12/19,142,23'01/04,12,23'01/13,,,,,2.25,0,2.25,0,0,0,2.25
2022,2022Q1,,22'09/19,167.5,,,22'10/14,,,,,2.25,0,2.25,0,0,0,2.25
2022,2021Q4,,22'07/01,163.5,22'07/21,15,22'07/29,,,,,2.25,0,2.25,0,0,0,2.25
2022,2021Q3,,22'03/17,186.5,22'03/17,1,22'04/15,,,,,2.25,0,2.25,0,0,0,2.25
2021,2021Q2,,21'12/09,196.5,22'01/04,18,22'01/14,,,,,4.5,0,4.5,0,0,0,4.5
2021,2020全年,21'06/24,21'07/29,232,21'07/29,1,21'08/20,,,,,7.2,0,7.2,0,0,0,7.2
2020,2019全年,20'06/24,20'07/23,161,20'07/24,2,20'08/20,,,,,4.5,0,4.5,0,0,0,4.5
2019,2018全年,19'06/20,19'07/23,101,19'08/12,14,19'08/20,,,,,4.5,0,4.5,0,0,0,4.5
2018,2017全年,18'06/22,18'07/17,127,20'06/11,465,18'08/20,18'07/17,127,20'06/11,465,4.5,0,4.5,0.5,0,0.5,5
2017,2016全年,17'06/23,17'07/24,137,17'07/27,4,17'08/18,,,,,3.25,0,3.25,0,0,0,3.25
2016,2015全年,16'06/24,16'07/25,118.5,17'01/09,116,16'08/19,,,,,2.5,0,2.5,0,0,0,2.5
2015,2014全年,15'06/24,15'07/16,137,15'07/20,3,15'08/20,,,,,1.5,0,1.5,0,0,0,1.5
2014,2013全年,14'06/24,14'07/10,138,14'07/10,1,,,,,,1.2,0,1.2,0,0,0,1.2
2013,2012全年,13'06/25,13'08/29,103.17,13'08/29,1,,13'08/29,103.17,13'08/29,1,0.25,0,0.25,0.25,0,0.25,0.5
2012,2011全年,12'06/21,,,,,,,,,,0,0,0,0,0,0,0
2011,2010全年,11'06/28,,,,,,,,,,0,0,0,0,0,0,0
2010,2009全年,10'06/04,,,,,,,,,,0,0,0,0,0,0,0
2009,2008全年,09'06/22,,,,,,,,,,0,0,0,0,0,0,0
2008,2007全年,,,,,,,,,,,0,0,0,0,0,0,0
2007,2006全年,,,,,,,,,,,0,0,0,0,0,0,0
2006,2005全年,,,,,,,,,,,0,0,0,0,0,0,0
2005,2004全年,05'06/24,,,,,,,,,,0,0,0,0,0,0,0
2004,2003全年,,,,,,,,,,,0,0,0,0,0,0,0
2003,2002全年,03'06/20,,,,,,03'08/28,7.8,03'08/28,1,0,0,0,0.16,0,0.16,0.16
2002,2001全年,,,,,,,,,,,0,0,0,0,0,0,0
2001,2000全年,,,,,,,,,,,0,0,0,0,0,0,0
2000,1999全年,00'05/26,,,,,,00'07/19,,00'07/19,1,0,0,0,0.4,0.9,1.3,1.3
1999,1998全年,99'06/16,,,,,,99'08/02,,99'08/02,1,0,0,0,0.4,0,0.4,0.4
1998,1997全年,98'05/14,,,,,,98'12/07,,98'12/07,1,0,0,0,0.9,0.5,1.4,1.4
1997,1996全年,97'06/12,,,,,,97'08/23,,98'03/31,163,0,0,0,0.5,0.5,1,1
1996,1995全年,96'05/17,,,,,,96'08/19,,96'08/19,1,0,0,0,1.5,0,1.5,1.5
1995,1994全年,95'04/28,,,,,,95'06/20,,,,0,0,0,1.1,0.5,1.6,1.6
1994,1993全年,,,,,,,,,,,0,0,0,1,0.5,1.5,1.5
股利  發放  年度,股利所屬  盈餘期間,股東會  日期,除息日程,除息日程,除息日程,除息日程,除息日程,除權日程,除權日程,除權日程,除權日程,股東股利 (元/股),股東股利 (元/股),股東股利 (元/股),股東股利 (元/股),股東股利 (元/股),股東股利 (元/股),股東股利 (元/股)
股利  發放  年度,股利所屬  盈餘期間,股東會  日期,除息  交易日,除息  參考  價,填息  完成日,填息  花費  日數,現金  股利  發放日,除權  交易日,除權  參考  價,填權  完成日,填權  花費  日數,現金股利,現金股利,現金股利,股票股利,股票股利,股票股利,股利  合計
股利  發放  年度,股利所屬  盈餘期間,股東會  日期,除息  交易日,除息  參考  價,填息  完成日,填息  花費  日數,現金  股利  發放日,除權  交易日,除權  參考  價,填權  完成日,填權  花費  日數,盈餘,公積,合計,盈餘,公積,合計,股利  合計
1993,1992全年,,,,,,,,,,,0,0,0,1.5,1,2.5,2.5
