YYYY,@YYYY,ownerDate,cashDividendDate,price,priceBackDate,backDays,giveDate,stockDividendDate,@price,@priceBackDate,@priceBackDays,cashDividend,shareCashDividend,cashDividendTotal,stockDividend,shareStockDividend,stockDividendTotal,dividendTotal
2023,2022全年,23'05/26,23'07/04,49.3,,,23'08/03,,,,,20,0,20,0,0,0,20
2022,2021全年,22'05/27,22'06/27,78.3,,,22'07/29,,,,,20,0,20,0,0,0,20
2021,2020全年,21'05/14,,,,,,,,,,0,0,0,0,0,0,0
2020,2019全年,20'06/17,,,,,,,,,,0,0,0,0,0,0,0
2019,2018全年,19'06/25,,,,,,,,,,0,0,0,0,0,0,0
2018,2017全年,18'06/22,,,,,,,,,,0,0,0,0,0,0,0
2017,2016全年,17'06/22,,,,,,,,,,0,0,0,0,0,0,0
2016,2015全年,16'06/22,,,,,,,,,,0,0,0,0,0,0,0
2015,2014全年,15'06/18,,,,,,,,,,0,0,0,0,0,0,0
2014,2013全年,14'06/18,,,,,,,,,,0,0,0,0,0,0,0
2013,2012全年,13'06/14,,,,,,,,,,0,0,0,0,0,0,0
2012,2011全年,12'06/15,,,,,,,,,,0,0,0,0,0,0,0
2011,2010全年,11'06/24,11'09/22,13.75,12'02/04,90,,11'09/22,13.75,12'02/04,90,1.25,0,1.25,1,0,1,2.25
2010,2009全年,10'06/18,,,,,,,,,,0,0,0,0,0,0,0
2009,2008全年,09'06/19,09'08/25,12.1,09'08/25,1,,,,,,0.15,0,0.15,0,0,0,0.15
2008,2007全年,08'06/18,08'08/29,15.45,10'07/06,462,,08'08/29,15.45,10'07/06,462,1,0,1,1,0,1,2
2007,2006全年,07'06/27,07'09/28,25.9,07'09/28,1,,07'09/28,25.9,07'09/28,1,0.32,0,0.32,0.08,0,0.08,0.399
2006,2005全年,06'06/23,06'08/24,17.15,07'02/06,116,,,,,,2.5,0,2.5,0,0,0,2.5
2005,2004全年,05'06/23,05'08/25,24.4,07'07/10,464,,,,,,2.982,0,2.982,0,0,0,2.982
2004,2003全年,04'06/24,04'08/10,26.6,04'08/31,14,,04'08/10,26.6,04'08/31,14,2.287,0,2.287,0.497,0,0.497,2.784
2003,2002全年,03'06/20,03'09/05,29.1,03'09/05,1,,,,,,0.6,0,0.6,0,0,0,0.6
2002,2001全年,02'06/21,,,,,,,,,,0,0,0,0,0,0,0
2001,2000全年,01'06/20,01'09/20,,01'09/20,1,,01'09/20,,01'09/20,1,0.3,0,0.3,0.2,0.1,0.3,0.6
2000,1999全年,00'06/03,,,,,,00'08/01,15.9,03'01/08,614,0.4,0,0.4,0,0.6,0.6,1
1999,1998全年,,,,,,,,,,,0,0,0,0,0.6,0.6,0.6
1998,1997全年,,,,,,,,,,,0,0,0,0.8,0.7,1.5,1.5
1997,1996全年,,,,,,,,,,,0.7,0,0.7,0.7,0,0.7,1.4
1996,1995全年,,,,,,,,,,,1,0,1,0,0,0,1
1995,1994全年,95'11/25,95'12/15,,95'12/20,5,,,,,,0.7,0,0.7,0,0,0,0.7
1994,1993全年,94'11/23,94'12/20,42.2,94'12/20,1,,,,,,0.5,0,0.5,0,0,0,0.5
1993,1992全年,93'09/29,,,,,,,,,,0,0,0,0,0,0,0
1992,1991全年,92'09/30,,,,,,,,,,0,0,0,0,0,0,0
1991,1990全年,91'12/26,,,,,,,,,,0,0,0,0,0,0,0
