YYYY,@YYYY,ownerDate,cashDividendDate,price,priceBackDate,backDays,giveDate,stockDividendDate,@price,@priceBackDate,@priceBackDays,cashDividend,shareCashDividend,cashDividendTotal,stockDividend,shareStockDividend,stockDividendTotal,dividendTotal
2023,2022全年,,23'08/03,291,23'08/04,1,23'08/31,,,,,6.2,0,6.2,0,0,0,6.2
2022,2021全年,,22'08/04,80.3,22'09/13,28,22'08/31,,,,,12,0,12,0,0,0,12
2021,2020全年,,21'07/08,108,21'10/21,73,21'08/06,,,,,4,1,5,0,0,0,5
2020,2019全年,,20'07/15,71.5,20'07/16,2,20'08/12,,,,,2.2,0,2.2,0,0,0,2.2
2019,2018全年,19'06/12,19'07/15,50.5,19'08/21,27,19'08/12,,,,,3,0,3,0,0,0,3
2018,2017全年,18'06/11,18'07/12,58.6,18'07/18,5,18'08/08,,,,,4,0,4,0,0,0,4
2017,2016全年,17'06/14,17'07/06,38.4,17'08/31,41,,,,,,1.6,1,2.6,0,0,0,2.6
2016,2015全年,16'06/15,16'07/11,36.7,16'07/18,6,16'08/05,,,,,2.5,0,2.5,0,0,0,2.5
2015,2014全年,15'06/17,15'07/20,26.9,15'09/09,38,15'08/12,,,,,2.7,0,2.7,0,0,0,2.7
2014,2013全年,14'06/11,14'07/14,44,16'12/27,606,,,,,,3,0,3,0,0,0,3
2013,2012全年,13'06/14,13'07/10,26.5,13'09/06,42,,,,,,2,0,2,0,0,0,2
2012,2011全年,12'06/18,12'08/07,24.65,12'08/17,9,,,,,,1.999,0,1.999,0,0,0,1.999
2011,2010全年,11'06/15,11'07/08,30.25,13'10/31,577,,,,,,2.499,0,2.499,0,0,0,2.499
2010,2009全年,10'06/17,10'08/05,32,13'11/20,820,,,,,,2.498,0,2.498,0,0,0,2.498
2009,2008全年,09'06/16,09'08/28,24,09'08/28,1,,,,,,1,0,1,0,0,0,1
2008,2007全年,08'06/13,08'08/21,22.35,09'04/15,161,,,,,,0.987,0,0.987,0,0,0,0.987
2007,2006全年,07'06/13,07'08/23,31.3,07'08/23,1,,,,,,0.6,0,0.6,0,0,0,0.6
2006,2005全年,06'04/12,06'07/27,19.2,06'08/04,7,,,,,,1.3,0,1.3,0,0,0,1.3
2005,2004全年,05'06/09,05'08/10,32.85,13'12/02,2069,,05'08/10,32.85,13'12/02,2069,2,0,2,0.5,0,0.5,2.5
2004,2003全年,04'06/09,04'08/26,,14'04/14,2391,,04'08/26,,14'04/14,2391,2.5,0,2.5,0.5,0,0.5,3
2003,2002全年,03'06/17,03'08/28,64.5,03'09/01,3,,03'08/28,64.5,03'09/01,3,2.5,0,2.5,0.5,0,0.5,3
2002,2001全年,02'05/23,02'09/10,55.15,03'06/09,184,,02'09/10,55.15,03'06/09,184,2.5,0,2.5,1.5,0,1.5,4
2001,2000全年,,,,,,,,,,,2,0,2,1.5,1,2.5,4.5
2000,1999全年,00'05/04,00'06/09,,23'05/26,5680,,00'06/09,132,23'05/26,5680,1,0,1,3.5,1,4.5,5.5
1999,1998全年,99'04/23,,,,,,99'07/08,217,23'07/25,5966,0,0,0,7,0,7,7
1998,1997全年,98'03/25,,,,,,98'04/19,,,,0,0,0,8,1,9,9
1997,1996全年,97'04/19,,,,,,,,,,0,0,0,0,0,0,0
1996,1995全年,,,,,,,,,,,0,0,0,6.25,0,6.25,6.25
1995,1994全年,,,,,,,,,,,0,0,0,0,0,0,0
1994,1993全年,,,,,,,,,,,0,0,0,0,0,0,0
1993,1992全年,,,,,,,,,,,0,0,0,0,0,0,0
