YYYY,@YYYY,ownerDate,cashDividendDate,price,priceBackDate,backDays,giveDate,stockDividendDate,@price,@priceBackDate,@priceBackDays,cashDividend,shareCashDividend,cashDividendTotal,stockDividend,shareStockDividend,stockDividendTotal,dividendTotal
2023,2022全年,23'05/31,,,,,,,,,,8.5,0,8.5,0.0,0,0.0,8.5
2022,2021全年,22'06/22,22'08/04,113.5,22'08/18,11.0,22'09/05,,,,,17.0,0,17.0,0.0,0,0.0,17.0
2021,2020全年,21'05/18,21'06/17,317.5,21'06/17,1.0,21'07/14,,,,,2.5,0,2.5,0.0,0,0.0,2.5
2020,2019全年,20'06/24,20'08/25,31.2,20'08/25,1.0,20'09/24,,,,,1.001,0,1.001,0.0,0,0.0,1.001
2019,2018全年,19'06/25,19'08/30,39.4,19'08/30,1.0,19'09/18,,,,,1.301,0,1.301,0.0,0,0.0,1.301
2018,2017全年,18'06/21,18'08/23,,18'08/23,1.0,18'09/13,,,,,0.5,0,0.5,0.0,0,0.0,0.5
2017,2016全年,17'06/27,17'08/30,,18'05/22,177.0,17'09/26,,,,,1.201,0,1.201,0.0,0,0.0,1.201
2016,2015全年,16'06/16,16'09/05,,16'09/05,1.0,16'09/28,,,,,1.202,0,1.202,0.0,0,0.0,1.202
2015,2014全年,15'05/28,15'07/16,,15'07/20,3.0,15'08/05,,,,,0.7,0,0.7,0.0,0,0.0,0.7
2014,2013全年,14'06/26,14'09/02,,14'09/02,1.0,14'10/03,,,,,0.4,0,0.4,0.0,0,0.0,0.4
2013,2012全年,13'05/24,,,,,,,,,,0.0,0,0.0,0.0,0,0.0,0.0
2012,2011全年,12'05/25,12'08/27,,12'09/05,8.0,,12'08/27,,12'09/05,8.0,0.6,0,0.6,0.1,0,0.1,0.7
2011,2010全年,11'06/30,11'08/10,,11'08/10,1.0,,11'08/10,,11'08/10,1.0,0.73,0,0.73,0.17,0,0.17,0.9
