YYYY,@YYYY,ownerDate,cashDividendDate,price,priceBackDate,backDays,giveDate,stockDividendDate,@price,@priceBackDate,@priceBackDays,cashDividend,shareCashDividend,cashDividendTotal,stockDividend,shareStockDividend,stockDividendTotal,dividendTotal
2023,2022全年,23'05/29,23'06/14,1120.0,23'06/14,1,23'07/07,,,,,50.0,0,50.0,0.0,0,0.0,50.0
2022,2021全年,22'05/31,22'06/17,781.0,22'08/26,51,22'07/15,,,,,25.0,0,25.0,0.0,0,0.0,25.0
2021,2020全年,21'06/16,21'07/23,944.0,21'08/30,27,21'08/10,,,,,32.0,0,32.0,0.0,0,0.0,32.0
2020,2019全年,20'06/15,20'07/03,821.0,20'07/09,5,20'07/31,,,,,23.0,0,23.0,0.0,0,0.0,23.0
2019,2018全年,19'06/25,19'07/11,340.5,19'07/16,4,19'08/13,,,,,16.0,0,16.0,0.0,0,0.0,16.0
2018,2017全年,18'06/22,18'07/26,,19'08/20,262,18'09/06,18'07/26,,19'08/20,262.0,4.036,0,4.036,2.018,0,2.018,6.054
