YYYY,@YYYY,ownerDate,cashDividendDate,price,priceBackDate,backDays,giveDate,stockDividendDate,@price,@priceBackDate,@priceBackDays,cashDividend,shareCashDividend,cashDividendTotal,stockDividend,shareStockDividend,stockDividendTotal,dividendTotal
2023,2022全年,,23'06/29,73.1,,,23'07/28,,,,,3,0,3,0,0,0,3
2022,2021全年,22'06/10,22'07/06,73.1,23'05/18,210,22'08/09,,,,,7.5,0,7.5,0,0,0,7.5
2021,2020全年,21'06/22,21'07/28,83.6,21'07/29,2,21'08/25,,,,,2.4,0,2.4,0,0,0,2.4
2020,2019全年,20'06/12,20'07/07,64.8,20'12/03,105,20'08/05,,,,,2.2,0,2.2,0,0,0,2.2
2019,2018全年,19'06/12,19'07/03,73.3,21'03/11,411,19'08/06,,,,,5,0,5,0,0,0,5
2018,2017全年,18'06/19,18'07/10,82.4,21'04/13,672,18'08/03,,,,,5.1,0,5.1,0,0,0,5.1
2017,2016全年,17'06/20,17'07/18,73.3,17'12/28,116,17'08/11,,,,,4.5,0,4.5,0,0,0,4.5
2016,2015全年,16'06/23,16'07/19,61.4,16'10/20,64,16'08/17,,,,,3.3,0,3.3,0,0,0,3.3
2015,2014全年,15'06/23,15'07/09,65.6,15'07/14,3,15'08/05,,,,,2.3,0,2.3,0,0,0,2.3
2014,2013全年,14'06/19,14'07/09,70,14'07/11,3,,,,,,1.9,0,1.9,0,0,0,1.9
2013,2012全年,13'06/24,13'08/07,62.1,13'09/12,26,,13'08/07,62.1,13'09/12,26,0.3,0,0.3,0.1,0,0.1,0.4
2012,2011全年,12'06/21,12'07/11,52.5,12'07/17,5,,,,,,2.1,0,2.1,0,0,0,2.1
2011,2010全年,11'06/21,11'07/13,73.4,11'07/14,2,,,,,,4.7,0,4.7,0,0,0,4.7
2010,2009全年,10'06/22,10'07/13,54.1,10'07/14,2,,,,,,1.9,0,1.9,0,0,0,1.9
2009,2008全年,09'06/11,09'07/16,40.8,09'07/21,4,,09'07/16,40.8,09'07/21,4,0.8,0,0.8,0.3,0,0.3,1.1
2008,2007全年,08'06/13,08'07/02,55.3,10'01/06,382,,,,,,6.7,0,6.7,0,0,0,6.7
2007,2006全年,07'06/22,07'07/11,69.6,07'07/24,10,,,,,,5,0,5,0,0,0,5
2006,2005全年,06'06/23,06'08/01,41.75,06'09/28,43,,06'08/01,41.75,06'09/28,43,3.7,0,3.7,0,0.3,0.3,4
2005,2004全年,05'06/03,05'07/06,39.9,06'01/04,127,,05'07/06,39.9,06'01/04,127,3.6,0,3.6,0,0.6,0.6,4.2
2004,2003全年,04'05/21,04'06/24,42.6,04'08/26,44,,04'06/24,42.6,04'08/26,44,1.8,0,1.8,0,0.6,0.6,2.4
2003,2002全年,03'06/06,03'06/26,37.8,03'07/02,5,,03'07/31,38.3,03'08/13,10,1.2,0,1.2,0.2,0.4,0.6,1.8
2002,2001全年,02'05/31,02'06/20,31.3,02'06/20,1,,,,,,0.7,0,0.7,0.3,0.4,0.7,1.4
2001,2000全年,01'05/29,,,,,,,,,,1.1,0,1.1,0.8,0.3,1.1,2.2
2000,1999全年,00'06/09,00'06/28,,00'06/28,1,,,,,,1,0,1,0.6,0.4,1,2
