Date,Open,High,Low,Close,Volume,Adj Close
2001-11-28,33.14,33.14,33.14,33.14,18.0,
2001-11-29,35.41,35.41,35.41,35.41,36.0,
2001-11-30,37.68,37.68,37.68,37.68,19.0,
2001-12-03,40.28,40.28,40.28,40.28,19.0,
2001-12-04,42.88,42.88,42.88,42.88,38.0,
2001-12-05,45.81,45.81,45.81,45.81,70.0,
2001-12-06,48.73,48.73,48.73,48.73,76.0,
2001-12-07,51.98,51.98,51.98,51.98,199.0,
2001-12-10,55.56,55.56,54.26,55.56,5561.0,
2001-12-11,58.8,59.13,56.2,59.13,2655.0,
2001-12-12,63.03,63.03,61.08,63.03,4019.0,
2001-12-13,64.98,66.6,61.4,63.03,2339.0,
2001-12-14,61.08,63.03,59.13,62.05,1986.0,
2001-12-17,61.73,61.73,58.48,60.75,1582.0,
2001-12-18,60.75,60.75,56.85,56.85,1244.0,
2001-12-19,57.18,60.75,57.18,60.75,1605.0,
2001-12-20,62.38,64.32,62.05,63.03,1402.0,
2001-12-21,63.03,65.62,62.7,62.7,2375.0,
2001-12-24,63.35,64.98,61.73,64.98,1571.0,
2001-12-25,65.62,69.52,65.62,69.52,2495.0,
2001-12-26,70.82,71.15,65.3,69.52,2021.0,
2001-12-27,68.22,70.82,64.98,65.3,1634.0,
2001-12-28,64.32,64.98,61.08,62.7,1542.0,
2001-12-31,63.35,64.32,62.7,64.32,1247.0,
2002-01-02,63.03,64.32,60.75,63.35,1545.0,
2002-01-03,63.35,63.35,60.43,61.08,851.0,
2002-01-04,62.38,62.38,60.1,61.08,995.0,
2002-01-07,63.35,65.3,62.38,65.3,1632.0,
2002-01-08,67.25,69.85,66.92,69.85,2985.0,
2002-01-09,72.12,73.75,68.88,70.82,2779.0,
2002-01-10,69.52,69.52,67.25,67.25,1353.0,
2002-01-11,66.28,67.25,63.03,63.35,1216.0,
2002-01-14,63.35,67.58,63.35,64.98,1566.0,
2002-01-15,66.28,69.2,64.98,68.55,1666.0,
2002-01-16,68.55,69.2,66.28,66.28,1640.0,
2002-01-17,63.68,66.28,63.35,66.28,1088.0,
2002-01-18,66.92,68.22,65.95,66.92,1564.0,
2002-01-21,71.15,71.47,69.52,71.47,1972.0,
2002-01-22,74.07,76.35,73.42,76.35,2983.0,
2002-01-23,76.35,77.97,73.1,73.42,2732.0,
2002-01-24,74.72,75.37,72.12,73.75,1118.0,
2002-01-25,77.32,77.32,74.4,75.7,1315.0,
2002-01-28,76.67,76.67,73.42,73.42,908.0,
2002-01-29,73.42,73.42,69.85,70.5,1252.0,
2002-01-30,68.88,72.45,68.22,71.8,580.0,
2002-01-31,71.15,71.8,69.2,70.82,682.0,
2002-02-01,70.82,71.47,69.52,70.17,556.0,
2002-02-04,70.17,70.17,68.88,69.2,477.0,
2002-02-05,68.22,71.15,68.22,71.15,433.0,
2002-02-06,71.15,72.77,68.88,68.88,1411.0,
2002-02-18,70.5,70.82,68.88,68.88,741.0,
2002-02-19,69.85,70.5,68.22,68.55,613.0,
2002-02-20,68.22,68.22,64.0,64.32,918.0,
2002-02-21,65.62,65.62,61.73,62.38,688.0,
2002-02-22,59.78,61.08,58.15,58.15,1433.0,
2002-02-25,58.48,59.13,55.23,56.2,896.0,
2002-02-26,56.85,58.15,53.28,55.88,837.0,
2002-02-27,57.18,59.78,56.85,59.78,1164.0,
2002-03-01,59.45,63.68,59.13,63.68,1847.0,
2002-03-04,66.92,66.92,63.35,63.35,1251.0,
2002-03-05,64.98,64.98,62.7,63.03,843.0,
2002-03-06,63.03,64.98,62.38,64.32,883.0,
2002-03-07,64.65,64.98,61.4,61.4,1030.0,
2002-03-08,61.4,62.7,58.48,59.13,1008.0,
2002-03-11,61.4,63.03,60.75,63.03,751.0,
2002-03-12,63.68,63.68,61.73,62.7,599.0,
2002-03-13,61.73,63.03,61.08,61.08,587.0,
2002-03-14,61.08,62.38,60.43,61.73,366.0,
2002-03-15,61.73,62.38,60.75,61.08,413.0,
2002-03-18,61.4,61.73,59.78,60.43,344.0,
2002-03-19,60.43,62.38,59.78,62.38,467.0,
2002-03-20,63.35,64.65,61.08,64.0,969.0,
2002-03-21,63.68,64.98,62.7,64.32,769.0,
2002-03-22,64.98,68.55,64.32,68.55,1791.0,
2002-03-25,69.85,70.82,68.88,70.5,1466.0,
2002-03-26,69.85,75.37,68.88,75.37,2331.0,
2002-03-27,76.02,80.57,73.42,75.37,2669.0,
2002-03-28,76.67,77.64,71.47,74.72,1118.0,
2002-03-29,74.72,74.72,72.12,73.1,342.0,
2002-04-01,76.35,77.32,73.42,76.35,602.0,
2002-04-02,81.54,81.54,78.94,81.22,2016.0,
2002-04-03,77.32,80.9,77.32,80.57,1051.0,
2002-04-04,79.6,79.6,75.7,78.62,988.0,
2002-04-08,76.67,77.64,73.42,74.72,374.0,
2002-04-09,73.75,74.72,70.5,74.4,452.0,
2002-04-10,73.42,76.02,72.12,76.02,273.0,
2002-04-11,76.02,78.62,75.37,76.35,484.0,
2002-04-12,76.02,81.54,75.37,79.92,1689.0,
2002-04-15,78.62,80.9,77.64,77.97,648.0,
2002-04-16,79.92,80.57,76.67,77.97,365.0,
2002-04-17,80.57,80.57,77.0,77.97,410.0,
2002-04-18,76.35,77.0,74.07,75.7,606.0,
2002-04-19,74.72,75.7,72.77,73.42,352.0,
2002-04-22,73.42,75.37,72.12,73.42,209.0,
2002-04-23,71.8,74.4,71.8,74.07,189.0,
2002-04-24,74.07,74.72,73.1,73.75,162.0,
