YYYY,@YYYY,ownerDate,cashDividendDate,price,priceBackDate,backDays,giveDate,stockDividendDate,@price,@priceBackDate,@priceBackDays,cashDividend,shareCashDividend,cashDividendTotal,stockDividend,shareStockDividend,stockDividendTotal,dividendTotal
2023,2022全年,,23'05/25,90,,,23'06/16  即將發放,,,,,7.5,0,7.5,0,0,0,7.5
2022,2021全年,,22'06/22,86.1,22'08/22,44,22'07/15,,,,,7.5,0,7.5,0,0,0,7.5
2021,2020全年,,21'06/09,85.9,21'11/11,108,21'06/30,,,,,7,0,7,0,0,0,7
2020,2019全年,,20'06/10,91,,,20'06/30,,,,,7.5,0,7.5,0,0,0,7.5
2019,2018全年,19'05/28,19'07/03,80,19'10/16,71,19'07/19,,,,,5,0,5,0,0,0,5
2018,2017全年,18'06/05,18'06/28,66.1,19'01/09,137,18'07/20,,,,,5.2,0,5.2,0,0,0,5.2
2017,2016全年,17'06/07,17'07/13,64.9,17'11/20,91,17'08/10,,,,,5,0.6,5.6,0,0,0,5.6
2016,2015全年,16'06/08,16'06/29,53.6,16'11/28,104,16'08/04,,,,,5,0.5,5.5,0,0,0,5.5
2015,2014全年,15'06/16,15'07/17,60.7,17'02/06,380,15'08/14,,,,,4.5,0.5,5,0,0,0,5
2014,2013全年,14'06/11,14'07/11,68,18'01/29,876,,,,,,5,0.5,5.5,0,0,0,5.5
2013,2012全年,13'06/04,13'06/28,86.9,13'07/15,12,,,,,,4.5,0.5,5,0,0,0,5
2012,2011全年,12'06/05,12'07/06,64.9,12'08/17,30,,12'07/06,64.9,12'08/17,30,5.6,0,5.6,0,0.2,0.2,5.8
2011,2010全年,11'05/18,11'06/29,82.6,13'05/07,461,,11'06/29,82.6,13'05/07,461,6.188,0,6.188,0,0.299,0.299,6.487
2010,2009全年,10'05/26,10'07/14,70.8,10'08/18,26,,10'07/14,70.8,10'08/18,26,5.962,0,5.962,0,0.596,0.596,6.558
2009,2008全年,09'05/22,09'06/19,71.9,09'06/22,2,,,,,,4.909,0,4.909,0,0,0,4.909
2008,2007全年,08'06/13,08'09/05,56.2,09'05/07,165,,08'09/05,56.2,09'05/07,165,5.5,0,5.5,1.1,0.4,1.5,7
2007,2006全年,07'06/12,07'07/30,69.7,08'01/16,119,,07'07/30,69.7,08'01/16,119,4,0,4,1,0.6,1.6,5.6
2006,2005全年,06'05/24,06'07/24,61.7,06'10/11,55,,06'07/24,61.7,06'10/11,55,3.6,0,3.6,0.2,0.8,1,4.6
2005,2004全年,05'04/28,05'08/02,33.2,05'08/12,8,,05'08/02,33.2,05'08/12,8,2.007,0,2.007,0,0.502,0.502,2.508
2004,2003全年,04'04/30,04'07/26,23.4,04'08/03,7,,04'07/26,23.4,04'08/03,7,0.2,0,0.2,0.4,0.4,0.8,1
2003,2002全年,03'05/30,03'06/30,5.9,03'07/02,3,,,,,,0.5,0,0.5,0,0,0,0.5
2002,2001全年,02'05/17,02'07/18,12.15,03'12/29,364,,02'07/18,12.15,03'12/29,364,1.2,0,1.2,1,0,1,2.2
2001,2000全年,01'04/10,01'05/03,24.8,04'02/23,694,,01'06/15,14.56,02'04/23,206,2,0,2,2,0,2,4
2000,1999全年,00'03/30,,,,,,00'05/09,,,,0,0,0,2.2,0.3,2.5,2.5
1999,1998全年,99'03/30,,,,,,99'06/17,,,,0,0,0,2,0,2,2
1998,1997全年,,,,,,,,,,,0,0,0,0,0,0,0
1997,1996全年,,,,,,,,,,,0,0,0,0,0,0,0
