Date,Open,High,Low,Close,Volume
2021-05-26,157.32,195.16,155.33,195.16,2641000.0
2021-05-27,187.19,204.12,183.21,190.18,2075000.0
2021-05-28,190.18,192.67,180.22,188.19,1296000.0
2021-05-31,187.19,196.65,181.22,188.69,1270000.0
2021-06-01,185.2,186.2,170.26,173.25,1713000.0
2021-06-02,174.25,183.71,170.26,177.23,837000.0
2021-06-03,177.23,180.22,170.76,175.24,402000.0
2021-06-04,174.25,175.24,166.28,166.78,671000.0
2021-06-07,168.27,169.27,159.31,167.28,508000.0
2021-06-08,169.77,183.71,169.77,183.71,884000.0
2021-06-09,190.68,201.63,184.2,201.63,1798000.0
2021-06-10,204.12,214.57,197.65,201.63,1718000.0
2021-06-11,201.63,209.1,191.17,204.12,957000.0
2021-06-15,203.12,216.07,200.14,214.08,1090000.0
2021-06-16,205.11,217.06,205.11,208.1,776000.0
2021-06-17,204.62,210.09,202.13,204.12,656000.0
2021-06-18,205.11,210.09,202.63,204.62,568000.0
2021-06-21,205.11,225.03,205.11,225.03,1003000.0
2021-06-22,238.97,247.43,231.0,247.43,2271000.0
2021-06-23,240.96,258.38,240.96,250.42,1518000.0
2021-06-24,250.42,275.31,250.42,275.31,1879000.0
2021-06-25,282.28,302.69,280.79,302.69,2085000.0
2021-06-28,311.65,332.56,311.65,332.56,1872000.0
2021-06-29,334.56,358.45,312.15,334.56,1711000.0
2021-06-30,315.14,331.57,305.68,305.68,1136000.0
2021-07-01,316.63,316.63,288.75,302.69,1199000.0
2021-07-02,300.2,310.66,298.71,304.68,675000.0
2021-07-05,315.64,315.64,292.24,299.21,786000.0
2021-07-06,304.68,329.08,299.71,329.08,1157000.0
2021-07-07,327.09,346.5,321.61,329.08,893000.0
2021-07-08,324.1,335.05,308.67,325.59,655000.0
2021-07-09,325.1,346.5,321.61,342.52,843000.0
2021-07-12,343.52,376.38,343.52,376.38,1128000.0
2021-07-13,369.9,384.34,339.04,339.04,4346000.0
2021-07-14,345.51,346.5,305.68,318.62,2366000.0
2021-07-15,330.57,344.51,319.62,342.02,1628000.0
2021-07-16,342.02,375.38,333.56,364.43,2526000.0
2021-07-19,371.89,400.77,371.89,400.77,2953000.0
2021-07-20,402.26,425.16,378.37,380.36,4205000.0
2021-07-21,395.79,400.27,373.89,382.35,1668000.0
2021-07-22,378.37,389.82,361.44,361.44,1925000.0
2021-07-23,362.93,378.86,361.44,366.92,974000.0
2021-07-26,369.41,377.37,347.5,368.41,1242000.0
2021-07-27,377.37,401.27,374.38,383.84,2647000.0
2021-07-28,398.28,407.74,356.96,393.3,3516000.0
2021-07-29,408.24,408.74,383.35,386.33,1708000.0
2021-07-30,386.33,390.81,373.39,373.39,775000.0
2021-08-02,373.39,381.85,366.42,368.91,501000.0
2021-08-03,372.39,384.34,368.41,373.39,525000.0
2021-08-04,373.39,375.38,345.51,348.99,1077000.0
2021-08-05,338.54,353.97,324.6,326.59,1309000.0
2021-08-06,326.59,342.52,324.6,329.08,967000.0
2021-08-09,329.08,332.07,298.71,298.71,1108000.0
2021-08-10,297.71,318.62,290.25,318.62,1137000.0
2021-08-11,308.67,323.6,295.23,303.69,1334000.0
2021-08-12,309.17,315.64,302.69,315.64,558000.0
2021-08-13,315.64,326.59,311.65,311.65,770000.0
2021-08-16,305.68,319.12,284.77,284.77,967000.0
2021-08-17,279.79,284.77,256.39,256.39,1685000.0
2021-08-18,253.9,266.35,233.99,263.86,2051000.0
2021-08-19,252.41,271.83,243.95,243.95,872000.0
2021-08-20,250.92,256.89,243.95,253.41,636000.0
2021-08-23,262.37,278.3,257.39,278.3,590000.0
2021-08-24,293.73,303.69,271.83,272.82,1444000.0
2021-08-25,272.82,281.29,267.84,273.82,565000.0
2021-08-26,275.31,277.8,266.85,268.84,416000.0
2021-08-27,270.83,270.83,255.9,256.89,334000.0
2021-08-30,256.39,262.87,248.93,257.89,344000.0
2021-08-31,255.9,272.82,255.9,257.89,725000.0
2021-09-01,259.88,265.35,256.39,257.89,430000.0
2021-09-02,260.87,262.87,248.93,249.92,288000.0
2021-09-03,252.91,253.41,240.96,246.44,437000.0
2021-09-06,247.93,254.9,231.0,231.0,752000.0
2021-09-07,232.99,248.43,227.02,247.43,895000.0
2021-09-08,247.43,262.37,241.96,250.42,1090000.0
2021-09-09,250.92,254.4,236.98,237.97,536000.0
2021-09-10,240.96,245.44,234.49,234.99,758000.0
2021-09-13,236.98,244.44,232.5,242.45,537000.0
2021-09-14,243.95,247.43,229.51,230.01,489000.0
2021-09-15,232.0,233.99,215.57,229.51,914000.0
2021-09-16,229.51,234.49,218.06,218.06,580000.0
2021-09-17,218.06,222.54,208.1,213.58,1193000.0
2021-09-22,205.61,208.1,200.63,201.13,547000.0
2021-09-23,207.11,221.05,207.11,221.05,854000.0
2021-09-24,231.0,236.98,214.08,215.57,1609000.0
2021-09-27,216.07,225.53,209.6,221.54,493000.0
2021-09-28,221.05,227.02,216.07,219.05,356000.0
2021-09-29,218.06,222.54,215.07,219.05,448000.0
2021-09-30,222.04,222.04,217.56,218.06,222000.0
2021-10-01,217.56,221.05,205.61,205.61,368000.0
2021-10-04,209.1,224.03,209.1,212.08,536000.0
2021-10-05,211.09,217.06,204.12,216.07,275000.0
2021-10-06,220.05,220.05,211.09,211.09,240000.0
2021-10-07,218.06,221.05,216.07,216.57,266000.0
2021-10-08,222.04,237.97,221.54,237.97,776000.0
2021-10-12,256.39,256.39,235.98,240.96,1414000.0
2021-10-13,244.94,251.41,238.97,238.97,665000.0
2021-10-14,242.95,249.42,239.47,243.95,447000.0
2021-10-15,248.93,254.9,248.43,248.43,586000.0
2021-10-18,248.93,256.89,246.93,250.92,482000.0
2021-10-19,253.9,275.81,253.9,275.81,1316000.0
2021-10-20,278.8,284.77,264.36,275.81,1443000.0
2021-10-21,275.81,277.3,264.86,264.86,513000.0
2021-10-22,267.84,276.81,267.84,270.33,533000.0
2021-10-25,271.33,275.31,264.86,266.35,457000.0
2021-10-26,270.83,271.33,265.35,265.85,272000.0
2021-10-27,266.35,285.77,266.35,269.34,804000.0
2021-10-28,274.81,274.81,265.35,266.35,351000.0
2021-10-29,266.35,270.83,265.35,265.85,187000.0
2021-11-01,267.84,275.31,267.84,274.32,488000.0
2021-11-02,280.79,287.76,273.32,273.82,626000.0
2021-11-03,276.81,278.8,268.84,273.32,289000.0
2021-11-04,278.3,278.3,262.37,262.37,240000.0
2021-11-05,263.36,267.35,243.45,243.95,684000.0
2021-11-08,243.95,245.94,235.98,239.47,324000.0
2021-11-09,245.94,254.4,240.96,252.41,449000.0
2021-11-10,253.9,253.9,247.93,252.41,281000.0
2021-11-11,255.9,258.88,246.93,246.93,201000.0
2021-11-12,255.4,271.33,252.91,271.33,1102000.0
2021-11-15,276.81,298.21,269.34,298.21,1716000.0
2021-11-16,297.71,319.12,286.76,291.24,1737000.0
2021-11-17,295.72,301.2,279.79,281.78,590000.0
2021-11-18,281.78,283.77,269.34,269.84,571000.0
2021-11-19,273.82,286.76,268.84,278.3,819000.0
2021-11-22,284.27,300.2,281.29,295.72,1359000.0
2021-11-23,302.69,307.17,287.26,299.21,904000.0
2021-11-24,299.21,305.68,294.23,294.73,617000.0
2021-11-25,294.73,306.68,294.73,299.71,802000.0
2021-11-26,308.67,325.59,299.71,312.15,2682000.0
2021-11-29,308.67,324.6,300.7,301.2,1369000.0
2021-11-30,308.67,313.65,298.21,298.21,1219000.0
2021-12-01,299.71,303.69,289.25,293.73,666000.0
2021-12-02,298.71,302.69,282.78,285.27,743000.0
2021-12-03,290.74,295.72,285.77,288.75,467000.0
2021-12-06,290.25,290.25,279.29,279.79,425000.0
2021-12-07,279.79,287.76,272.82,285.77,454000.0
2021-12-08,288.75,292.74,283.28,284.27,358000.0
2021-12-09,284.77,291.24,281.78,283.28,242000.0
2021-12-10,286.26,286.26,279.79,280.79,182000.0
2021-12-13,283.78,293.73,283.28,288.75,609000.0
