YYYY,@YYYY,ownerDate,cashDividendDate,price,priceBackDate,backDays,giveDate,stockDividendDate,@price,@priceBackDate,@priceBackDays,cashDividend,shareCashDividend,cashDividendTotal,stockDividend,shareStockDividend,stockDividendTotal,dividendTotal
2023,2022全年,23'06/17,,,,,,,,,,0,0,0,0,0,0,0
2022,2021全年,22'06/17,22'07/06,13.25,,,22'08/03,,,,,1,0,1,0,0,0,1
2021,2020全年,21'06/11,21'08/10,13.6,21'08/13,4,21'09/03,,,,,0.55,0,0.55,0,0,0,0.55
2020,2019全年,20'06/12,20'07/06,8.87,21'01/11,132,20'07/31,,,,,0.6,0,0.6,0,0,0,0.6
2019,2018全年,19'06/14,19'07/04,9.2,19'10/24,76,19'07/31,,,,,0.245,0.055,0.3,0,0,0,0.3
2018,2017全年,18'06/22,18'07/12,10.85,18'09/27,55,18'08/10,,,,,0.6,0,0.6,0,0,0,0.6
2017,2016全年,17'06/16,17'07/05,8.3,17'07/10,4,17'08/04,,,,,0.5,0,0.5,0,0,0,0.5
2016,2015全年,16'05/16,16'06/03,7.7,16'08/15,50,16'06/24,,,,,0.5,0,0.5,0,0,0,0.5
2015,2014全年,15'06/12,15'07/03,11.4,21'04/20,1417,15'07/24,,,,,0.6,0,0.6,0,0,0,0.6
2014,2013全年,14'06/20,14'07/10,9.47,14'07/15,4,,,,,,0.4,0,0.4,0,0,0,0.4
2013,2012全年,13'06/13,13'07/25,8.5,13'09/27,45,,,,,,0.18,0,0.18,0,0,0,0.18
2012,2011全年,12'06/22,,,,,,,,,,0,0,0,0,0,0,0
2011,2010全年,11'06/24,11'07/13,10.8,15'04/23,935,,11'08/11,9.61,11'08/15,3,0.592,0,0.592,0.099,0,0.099,0.69
2010,2009全年,10'06/18,10'08/12,8.91,10'12/16,90,,10'08/12,8.91,10'12/16,90,0.5,0,0.5,0.1,0,0.1,0.6
2009,2008全年,09'06/19,,,,,,,,,,0,0,0,0,0,0,0
2008,2007全年,08'06/13,08'08/20,9.36,08'08/26,5,,08'08/20,9.36,08'08/26,5,0.2,0,0.2,0.25,0,0.25,0.45
2007,2006全年,07'06/15,07'07/17,14.9,07'07/18,2,,07'09/20,12.8,07'09/27,4,0.7,0,0.7,0.3,0,0.3,1
2006,2005全年,06'06/30,06'09/14,12.25,06'09/18,3,,06'09/14,12.25,06'09/18,3,0.2,0,0.2,0,0.3,0.3,0.5
2005,2004全年,05'06/10,,,,,,,,,,0,0,0,0,0,0,0
2004,2003全年,04'04/05,,,,,,,,,,0,0,0,0,0,0,0
2003,2002全年,03'06/27,03'09/10,11.7,03'09/16,4,,03'09/10,11.7,03'09/16,4,0.085,0,0.085,0,0.5,0.5,0.584
2002,2001全年,02'06/26,,,,,,02'09/24,14.35,04'01/05,321,0,0,0,0.009,2.259,2.268,2.268
