Date,Open,High,Low,Close,Volume
2017-11-01,35.84,37.48,33.69,35.24,376000.0
2017-11-02,34.56,35.84,34.56,34.88,204000.0
2017-11-03,34.88,35.12,33.53,33.61,122000.0
2017-11-06,32.41,33.25,32.41,32.73,140000.0
2017-11-07,32.65,32.65,31.93,32.41,157000.0
2017-11-08,32.41,35.64,31.93,35.64,278000.0
2017-11-09,35.64,35.64,32.81,33.93,247000.0
2017-11-10,32.97,34.56,32.97,34.17,86000.0
2017-11-13,33.53,33.53,32.33,32.73,78000.0
2017-11-14,32.73,32.73,32.33,32.73,51000.0
2017-11-15,33.45,35.12,33.45,33.69,85000.0
2017-11-16,33.37,33.37,32.33,32.49,54000.0
2017-11-17,32.57,32.89,32.45,32.57,30000.0
2017-11-20,32.41,33.45,32.17,32.57,45000.0
2017-11-21,33.29,33.29,32.41,32.65,21000.0
2017-11-22,32.33,32.73,32.33,32.33,49000.0
2017-11-23,32.53,32.73,32.33,32.41,38000.0
2017-11-24,32.33,32.41,32.25,32.41,26000.0
2017-11-27,31.93,32.33,31.93,31.93,32000.0
2017-11-28,31.93,31.93,31.37,31.61,44000.0
2017-11-29,31.45,31.61,31.45,31.53,44000.0
2017-11-30,31.53,31.53,31.05,31.05,20000.0
2017-12-01,31.93,32.57,31.13,31.69,25000.0
2017-12-04,32.73,32.73,31.29,31.53,28000.0
2017-12-05,31.29,31.29,30.89,31.13,16000.0
2017-12-06,31.13,31.13,30.33,30.33,9000.0
2017-12-07,30.33,31.13,29.22,30.25,20000.0
2017-12-08,29.14,29.54,28.98,29.22,17000.0
2017-12-11,28.74,29.22,28.74,29.22,10000.0
2017-12-12,29.14,29.14,28.74,29.1,12000.0
2017-12-13,28.9,29.14,28.74,29.14,25000.0
2017-12-14,29.14,29.14,28.34,28.74,5000.0
2017-12-15,28.74,30.33,28.74,29.54,20000.0
2017-12-18,29.54,29.54,28.74,28.74,9000.0
2017-12-19,28.74,28.74,28.42,28.42,5000.0
2017-12-20,28.34,28.34,27.94,28.1,14000.0
2017-12-21,28.1,30.33,27.94,29.54,87000.0
2017-12-22,29.14,29.22,28.62,28.98,25000.0
2017-12-25,28.98,29.14,28.9,28.9,14000.0
