YYYY,@YYYY,ownerDate,cashDividendDate,price,priceBackDate,backDays,giveDate,stockDividendDate,@price,@priceBackDate,@priceBackDays,cashDividend,shareCashDividend,cashDividendTotal,stockDividend,shareStockDividend,stockDividendTotal,dividendTotal
2023,2023上半年,,23'01/30,115.5,23'01/30,1,23'03/07,,,,,2.6,0,2.6,0,0,0,2.6
2022,2022下半年,,22'07/18,113.7,22'07/20,3,22'08/19,,,,,1.8,0,1.8,0,0,0,1.8
2022,2022上半年,,22'01/21,145.9,,,22'03/04,,,,,3.2,0,3.2,0,0,0,3.2
2021,2021下半年,,21'07/21,136.85,21'07/21,1,21'08/24,,,,,0.35,0,0.35,0,0,0,0.35
2021,2021上半年,,21'01/22,139.95,21'09/06,150,21'03/09,,,,,3.05,0,3.05,0,0,0,3.05
2020,2020下半年,,20'07/21,96.35,20'07/21,1,20'08/24,,,,,0.7,0,0.7,0,0,0,0.7
2020,2020上半年,,20'01/31,89.25,20'02/06,5,20'03/06,,,,,2.9,0,2.9,0,0,0,2.9
2019,2019下半年,,19'07/19,82,19'07/19,1,19'08/22,,,,,0.7,0,0.7,0,0,0,0.7
2019,2019上半年,,19'01/22,74.2,19'02/20,15,19'03/08,,,,,2.3,0,2.3,0,0,0,2.3
2018,2018下半年,,18'07/23,83.95,18'07/23,1,18'08/27,,,,,0.7,0,0.7,0,0,0,0.7
2018,2018上半年,,18'01/29,85.3,18'08/30,143,18'03/13,,,,,2.2,0,2.2,0,0,0,2.2
2017,2017下半年,,17'07/31,81.4,17'08/01,2,17'08/31,,,,,0.7,0,0.7,0,0,0,0.7
2017,2017上半年,,17'02/08,71.6,17'02/14,5,17'03/14,,,,,1.7,0,1.7,0,0,0,1.7
2016,2016下半年,,16'07/28,68.85,16'08/05,7,16'08/30,,,,,0.85,0,0.85,0,0,0,0.85
2015,2015全年,,15'10/26,63.9,16'07/01,168,15'11/26,,,,,2,0,2,0,0,0,2
2014,2014全年,,14'10/24,63.5,14'10/31,6,14'11/27,,,,,1.55,0,1.55,0,0,0,1.55
2013,2013全年,,13'10/24,57.35,13'12/30,48,13'11/27,,,,,1.35,0,1.35,0,0,0,1.35
2012,2012全年,,12'10/24,51.05,12'11/29,27,12'11/27,,,,,1.85,0,1.85,0,0,0,1.85
2011,2011全年,,11'10/26,51.65,12'02/04,67,11'11/29,,,,,1.95,0,1.95,0,0,0,1.95
2010,2010全年,,10'10/25,54.9,10'11/03,8,10'11/26,,,,,2.2,0,2.2,0,0,0,2.2
2009,2009全年,,09'10/23,52.7,09'10/26,2,09'11/26,,,,,1,0,1,0,0,0,1
2008,2008全年,,08'10/24,33.51,08'10/31,6,08'12/03,,,,,2,0,2,0,0,0,2
2007,2007全年,,07'10/24,68.1,07'10/29,4,07'12/03,,,,,2.5,0,2.5,0,0,0,2.5
2006,2006全年,,06'10/26,53.4,06'12/06,30,06'12/01,,,,,4,0,4,0,0,0,4
2005,2005全年,,05'05/19,44.84,05'06/13,18,05'06/13,,,,,1.85,0,1.85,0,0,0,1.85
2004,2004全年,,,,,,,,,,,0,0,0,0,0,0,0
