YYYY,@YYYY,ownerDate,cashDividendDate,price,priceBackDate,backDays,giveDate,stockDividendDate,@price,@priceBackDate,@priceBackDays,cashDividend,shareCashDividend,cashDividendTotal,stockDividend,shareStockDividend,stockDividendTotal,dividendTotal
2023,2022全年,,23'07/18,130.0,23'07/18,1.0,23'08/11,,,,,1.95,0.05,2.0,0.0,0.0,0.0,2.0
2022,2021全年,,22'06/27,108.0,22'06/27,1.0,22'07/22,,,,,1.12,0.38,1.5,0.0,0.0,0.0,1.5
2021,2020全年,,21'06/24,108.0,21'06/24,1.0,21'07/16,,,,,0.2,0.5,0.7,0.0,0.0,0.0,0.7
2020,2019全年,20'06/09,20'06/30,140.0,20'07/09,8.0,20'07/22,,,,,1.72,0.08,1.8,0.0,0.0,0.0,1.8
2019,2018全年,19'06/06,19'06/27,90.9,19'06/28,2.0,19'07/19,,,,,1.76,0.04,1.8,0.0,0.0,0.0,1.8
2018,2017全年,18'05/30,18'06/19,98.1,18'06/21,3.0,18'07/11,,,,,1.0,0.5,1.5,0.0,0.0,0.0,1.5
2017,2016全年,17'06/06,17'07/14,,17'11/08,82.0,17'08/18,17'07/14,,17'11/08,82.0,0.9,0.0,0.9,0.3,0.7,1.0,1.9
2016,2015全年,16'06/03,16'07/29,,18'04/09,414.0,16'08/19,16'07/29,,18'04/09,414.0,0.799,0.0,0.799,0.3,0.699,0.999,1.798
2015,2014全年,15'06/10,15'09/03,,15'09/03,1.0,15'10/13,15'09/03,,15'09/03,1.0,0.15,0.0,0.15,0.6,1.0,1.6,1.75
2014,2013全年,14'06/04,,,,,,14'08/28,,14'09/09,8.0,0.0,0.0,0.0,0.0,0.996,0.996,0.996
2013,2012全年,13'06/28,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,2011全年,12'06/29,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,2010全年,11'06/17,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,2009全年,10'06/18,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004,2003全年,04'05/14,,,,,,04'07/12,,04'07/12,1.0,0.0,0.0,0.0,0.1,0.05,0.15,0.15
