YYYY,@YYYY,ownerDate,cashDividendDate,price,priceBackDate,backDays,giveDate,stockDividendDate,@price,@priceBackDate,@priceBackDays,cashDividend,shareCashDividend,cashDividendTotal,stockDividend,shareStockDividend,stockDividendTotal,dividendTotal
2023,2022全年,,,,,,,,,,,41.0,0,41.0,0.0,0,0.0,41.0
2022,2021全年,,22'07/04,294.0,23'01/04,130.0,22'07/29,,,,,45.0,0,45.0,0.0,0,0.0,45.0
2021,2020全年,,21'07/05,,21'07/05,1.0,21'07/30,,,,,10.5,0,10.5,0.0,0,0.0,10.5
2020,2019全年,20'06/02,20'07/07,,20'12/24,120.0,20'07/30,,,,,8.0,0,8.0,0.0,0,0.0,8.0
2019,2018全年,19'06/12,19'06/28,,19'07/26,21.0,19'07/26,,,,,7.0,0,7.0,0.0,0,0.0,7.0
2018,2017全年,18'06/20,18'07/06,,18'09/03,42.0,18'07/31,,,,,5.5,0,5.5,0.0,0,0.0,5.5
2017,2016全年,17'06/13,17'06/30,,19'01/09,382.0,17'07/28,,,,,6.5,0,6.5,0.0,0,0.0,6.5
2016,2015全年,16'06/21,16'08/10,,16'09/08,22.0,16'09/05,,,,,6.562,0,6.562,0.0,0,0.0,6.562
2015,2014全年,15'06/09,15'07/09,,16'07/26,257.0,15'08/07,,,,,6.0,0,6.0,0.0,0,0.0,6.0
2014,2013全年,14'06/11,14'07/10,,19'02/14,1129.0,,,,,,8.0,0,8.0,0.0,0,0.0,8.0
2013,2012全年,13'06/13,13'07/11,,13'08/16,27.0,,,,,,8.0,0,8.0,0.0,0,0.0,8.0
2012,2011全年,12'06/06,12'07/05,,12'09/04,43.0,,,,,,8.0,0,8.0,0.0,0,0.0,8.0
2011,2010全年,11'06/22,11'07/25,,12'03/20,163.0,,,,,,10.0,0,10.0,0.0,0,0.0,10.0
2010,2009全年,10'05/27,10'07/07,,21'02/05,2611.0,,10'07/07,,21'02/05,2611.0,15.0,0,15.0,2.0,0,2.0,17.0
2009,2008全年,09'06/11,09'07/23,,09'09/03,30.0,,09'07/23,,09'09/03,30.0,7.5,0,7.5,1.5,0,1.5,9.0
2008,2007全年,08'05/16,08'07/08,,21'02/17,3111.0,,08'07/08,,21'02/17,3111.0,7.8,0,7.8,1.0,0,1.0,8.8
