Date,Open,High,Low,Close,Volume
2018-09-13,47.55,48.71,45.99,46.23,457000.0
2018-09-14,46.54,47.55,46.54,46.69,273000.0
2018-09-17,46.85,47.24,46.15,46.23,205000.0
2018-09-18,46.23,46.23,43.51,43.74,393000.0
2018-09-19,44.21,45.22,44.21,44.36,162000.0
2018-09-20,44.67,44.67,42.73,42.89,241000.0
2018-09-21,42.96,43.58,42.96,43.2,195000.0
2018-09-25,43.2,43.2,41.18,41.25,395000.0
2018-09-26,41.64,45.14,41.41,44.21,484000.0
2018-09-27,43.9,43.97,42.81,43.04,222000.0
2018-09-28,43.2,44.67,43.2,44.05,296000.0
2018-10-01,44.28,45.45,44.28,44.75,253000.0
2018-10-02,44.67,44.67,43.9,43.9,119000.0
2018-10-03,44.28,44.28,43.9,43.97,62000.0
2018-10-04,43.97,44.28,42.73,44.21,131000.0
2018-10-05,43.51,43.51,41.95,42.34,197000.0
2018-10-08,42.34,43.27,41.72,42.57,72000.0
2018-10-09,43.12,43.12,41.64,41.72,90000.0
2018-10-11,37.8,38.85,37.56,37.84,242000.0
2018-10-12,36.67,39.62,36.59,38.92,113000.0
2018-10-15,38.85,40.4,38.07,39.62,36000.0
2018-10-16,40.01,41.25,39.47,39.93,161000.0
2018-10-17,40.48,41.02,39.93,39.93,46000.0
2018-10-18,38.53,39.78,38.53,39.62,8000.0
2018-10-19,38.85,39.54,38.38,39.54,25000.0
2018-10-22,38.92,39.47,38.77,39.08,33000.0
2018-10-23,38.61,38.61,37.76,38.07,37000.0
2018-10-24,38.07,38.07,36.83,37.29,48000.0
2018-10-25,35.74,36.51,35.27,35.89,70000.0
2018-10-26,36.05,36.67,35.74,35.82,41000.0
2018-10-29,35.89,36.13,35.89,35.97,35000.0
2018-10-30,35.82,36.36,35.74,36.13,27000.0
2018-10-31,36.98,37.29,36.67,36.67,36000.0
2018-11-01,37.06,38.38,36.83,38.38,47000.0
2018-11-02,38.53,39.08,38.07,38.15,30000.0
2018-11-05,38.46,38.46,38.22,38.22,3000.0
2018-11-06,38.07,38.22,37.76,38.15,86000.0
2018-11-07,38.15,38.69,38.15,38.22,13000.0
2018-11-08,38.77,38.92,38.22,38.92,41000.0
2018-11-09,38.92,38.92,38.11,38.11,15000.0
2018-11-12,38.5,38.5,37.99,37.99,28000.0
2018-11-13,36.13,37.68,36.13,37.29,28000.0
2018-11-14,37.37,38.85,37.37,38.53,79000.0
2018-11-15,38.5,38.5,37.6,37.8,45000.0
2018-11-16,38.22,38.22,37.6,37.8,34000.0
2018-11-19,37.84,38.15,37.84,38.15,21000.0
2018-11-20,37.68,37.91,37.29,37.91,18000.0
2018-11-21,37.99,38.22,37.8,37.91,44000.0
