stockId,stockName,type,date,price,rfPrice,rfPercent,parValue,equityMillion,circulationTenThousand,totalPrice,buildYear,onYear,股票期貨,選擇權,權證,公司債,私募股,特別股,產業別,董事長,總經理
6776,展碁國際,市,10/02,54.0,0.8,1.5,10.0,8.16,8.16,44.1,45.8,2.51,nan,nan,nan,nan,nan,nan,電子通路業,陳俊聖,林佳璋
3055,蔚華科,市,10/02,36.9,1.15,3.22,10.0,11.9,11.87,43.8,35.8,20.8,nan,nan,nan,nan,有,nan,電子通路業,秦家騏,楊燿州
2022,聚亨,市,10/02,12.95,0.4,3.19,10.0,33.7,33.72,43.7,42.8,28.5,nan,nan,nan,有,nan,nan,鋼鐵工業,黃文松,呂艷娟
8249,菱光,市,10/02,29.2,0.15,0.52,10.0,14.9,14.91,43.5,25.3,18.4,nan,nan,nan,nan,有,nan,電子零組件業,黃育仁,楊其昶(代理)
3024,憶聲,市,10/02,15.7,0.25,1.62,10.0,27.7,27.72,43.5,47.2,25.4,nan,nan,nan,有,nan,nan,光電業,彭亭玉,彭亭玉
2399,映泰,市,10/02,24.25,0.95,4.08,10.0,17.8,17.81,43.2,33.1,23.8,nan,nan,nan,nan,nan,nan,電腦及週邊設備業,王明義,李聰煒
1524,耿鼎,市,10/02,26.1,0.1,0.38,10.0,16.5,16.53,43.1,37.6,24.9,nan,nan,nan,nan,nan,nan,汽車工業,李茂源,李茂源
00932,兆豐永續高息等權,市,10/02,15.25,0.22,1.46,,,28.28,43.1,0.1,0.09,nan,nan,nan,nan,nan,nan,nan,陳佩君,黃大川
3356,奇偶,市,10/02,47.9,0.9,1.91,10.0,8.98,8.98,43.0,25.7,18.5,nan,nan,nan,有,nan,nan,光電業,戴光正,王有傳
6625,必應,市,10/02,96.2,-0.4,-0.41,10.0,4.43,4.43,42.7,9.8,5.65,nan,nan,nan,nan,nan,nan,其他業,周佑洋,周佑洋
3011,今皓,市,10/02,37.8,-0.2,-0.53,10.0,11.3,11.27,42.6,40.7,23.0,nan,nan,nan,nan,nan,nan,電子零組件業,石浩吉,吳家鑫
9906,欣巴巴,市,10/02,51.1,0.4,0.79,10.0,8.33,8.33,42.6,56.7,32.8,nan,nan,nan,有,nan,nan,建材營造業,黃〝火冏〞輝,張宏圖
3167,大量,市,10/02,51.5,0.7,1.38,10.0,8.01,8.25,42.5,42.8,9.95,nan,nan,nan,nan,nan,nan,電機機械,王作京,陳尚書
6201,亞弘電,市,10/02,47.65,-0.1,-0.21,10.0,8.92,8.92,42.5,41.9,20.8,nan,nan,nan,nan,nan,nan,其他電子業,黃晉益,許瑞峯
2460,建通,市,10/02,25.0,-0.3,-1.19,10.0,16.9,16.92,42.3,30.2,23.7,nan,nan,nan,nan,nan,nan,電子零組件業,蘇敦禮,何易霖
3557,嘉威,市,10/02,52.6,0.1,0.19,10.0,8.03,8.03,42.2,18.5,15.6,nan,nan,nan,有,有,nan,居家生活,黃清森,吳世偉
00896,中信綠能及電動車,市,10/02,15.59,0.17,1.1,,,27.04,42.2,2.1,2.05,nan,nan,nan,nan,nan,nan,nan,陳國世,陳正華(代理)
2616,山隆,市,10/02,30.7,0.0,0.0,10.0,13.7,13.73,42.1,47.5,25.9,nan,nan,nan,有,nan,nan,油電燃氣業,鄭人豪,王楨德
9105,泰金寶-DR,市,10/02,3.93,-0.04,-1.01,1.0,52.1,106.1,41.7,33.8,20.0,nan,nan,nan,nan,nan,nan,nan,許勝雄,鄒孔訓
00665L,富邦恒生國企正2,市,10/02,6.87,0.22,3.31,,,59.55,40.9,7.2,7.16,nan,nan,有,nan,nan,nan,nan,史綱,林欣怡
4190,佐登-KY,市,10/02,66.5,0.7,1.06,10.0,6.13,6.13,40.8,13.3,7.95,nan,nan,nan,有,nan,nan,生技醫療業,陳正雄,陳佳琦
5225,東科-KY,市,10/02,62.4,3.3,5.58,10.0,6.66,6.5,40.6,12.7,10.9,nan,nan,nan,有,nan,nan,其他電子業,東科聲學股份有限公司,白錦蒼
8467,波力-KY,市,10/02,81.9,-1.0,-1.21,10.0,5.12,4.95,40.6,10.2,7.8,nan,nan,nan,有,nan,nan,運動休閒,洪芳蘭,洪進山
3092,鴻碩,市,10/02,38.0,0.8,2.15,10.0,10.6,10.63,40.4,31.8,13.4,nan,nan,nan,有,nan,nan,電子零組件業,張利榮,魯憶萱
4555,氣立,市,10/02,58.0,3.7,6.81,10.0,6.93,6.93,40.2,36.9,7.94,nan,nan,nan,nan,nan,nan,電機機械,游平政,游平政
4108,懷特,市,10/02,20.0,0.2,1.01,10.0,19.9,19.86,39.7,24.9,21.4,nan,nan,nan,nan,有,nan,生技醫療業,李伊俐,李伊伶
4552,力達-KY,市,10/02,34.2,-0.25,-0.73,10.0,11.6,11.6,39.7,11.4,7.2,nan,nan,nan,nan,nan,nan,電機機械,吳建能,陳乙平
8473,山林水,市,10/02,26.85,0.0,0.0,10.0,14.7,14.7,39.5,19.3,7.07,nan,nan,nan,有,nan,nan,綠能環保,郭淑珍,吳人傑
1473,台南,市,10/02,26.9,0.5,1.89,10.0,14.6,14.62,39.3,62.1,23.1,nan,nan,nan,nan,nan,nan,紡織纖維,楊青(山夆),謝幼琴
2109,華豐,市,10/02,14.0,0.0,0.0,10.0,27.9,27.93,39.1,64.4,25.3,nan,nan,nan,nan,nan,nan,橡膠工業,沈國榮,王嶠奇
9919,康那香,市,10/02,20.0,-0.2,-0.99,10.0,19.5,19.54,39.1,51.8,28.9,nan,nan,nan,nan,nan,nan,其他業,戴華銘,戴秀玲
6695,芯鼎,市,10/02,41.0,1.45,3.67,10.0,9.52,9.52,39.0,13.8,0.91,nan,nan,nan,nan,有,nan,半導體業,羅森洲,許英偉
3605,宏致,市,10/02,29.0,0.4,1.4,10.0,13.4,13.44,39.0,26.9,14.5,nan,nan,nan,有,nan,nan,電子零組件業,袁万丁,黃添富
1414,東和,市,10/02,17.7,-0.05,-0.28,10.0,22.0,22.0,38.9,64.1,47.7,nan,nan,nan,nan,nan,nan,紡織纖維,蔡淑櫻,張嘉亨
2008,高興昌,市,10/02,20.4,0.0,0.0,10.0,19.1,19.09,38.9,57.7,34.8,nan,nan,nan,nan,nan,nan,鋼鐵工業,呂泰榮,勝呂榮峰
8021,尖點,市,10/02,27.35,0.25,0.92,10.0,14.2,14.22,38.9,27.5,18.8,nan,nan,nan,nan,nan,nan,其他電子業,林序庭,林若萍
3308,聯德,市,10/02,55.0,0.2,0.36,10.0,7.07,7.07,38.9,35.7,15.6,nan,nan,nan,有,nan,nan,電子零組件業,陳銘智,鄧瑞玲
1451,年興,市,10/02,18.8,0.0,0.0,10.0,20.6,20.64,38.8,37.0,30.8,nan,nan,nan,nan,nan,nan,紡織纖維,陳威翰,蔡樹軒
2739,寒舍,市,10/02,38.2,-0.4,-1.04,10.0,10.2,10.15,38.8,23.7,7.37,nan,nan,nan,nan,nan,有,觀光餐旅,蔡伯翰,蔡伯翰
1443,立益物流,市,10/02,28.5,0.3,1.06,10.0,13.5,13.53,38.6,50.9,33.5,nan,nan,nan,nan,nan,nan,其他業,蘇東榮,蘇慶源
2642,宅配通,市,10/02,40.4,0.0,0.0,10.0,9.55,9.55,38.6,24.1,9.81,nan,nan,nan,nan,nan,nan,航運業,邱純枝,彭繼曾
5521,工信,市,10/02,7.82,0.11,1.43,10.0,49.2,49.23,38.5,76.7,23.9,nan,nan,nan,nan,nan,nan,建材營造業,陳煌銘,江啟靖
4571,鈞興-KY,市,10/02,71.8,-0.2,-0.28,10.0,5.33,5.33,38.3,9.4,4.04,nan,nan,nan,nan,nan,nan,電機機械,國興環球有限公司(代表人：高國興),杜春輝
6796,晉弘,市,10/02,110.5,0.5,0.45,10.0,3.33,3.46,38.2,13.2,1.34,nan,nan,nan,nan,nan,nan,生技醫療業,鄭竹明,鄭竹明
00861,元大全球未來通訊,市,10/02,30.95,0.44,1.44,,,12.29,38.0,3.9,3.87,nan,nan,nan,nan,nan,nan,nan,劉宗聖,陳沛宇
2461,光群雷,市,10/02,23.2,0.0,0.0,10.0,16.7,16.38,38.0,35.4,23.8,nan,nan,nan,有,nan,nan,其他電子業,郭維武,郭維武
5215,科嘉-KY,市,10/02,58.4,4.1,7.55,10.0,6.43,6.43,37.6,14.1,11.8,nan,nan,nan,nan,nan,nan,電腦及週邊設備業,林志峰,何和和
2241,艾姆勒,市,10/02,41.9,0.95,2.32,10.0,8.96,8.96,37.5,12.3,3.1,nan,nan,nan,nan,nan,nan,汽車工業,林啟聖,石志鴻
2543,皇昌,市,10/02,15.8,1.4,9.72,10.0,23.7,23.75,37.5,42.6,24.0,nan,nan,nan,nan,nan,nan,建材營造業,江程金,黃重雷
3588,通嘉,市,10/02,64.0,1.9,3.06,10.0,5.85,5.85,37.5,21.0,14.1,nan,nan,nan,nan,nan,nan,半導體業,高育坤,祁亨忠
6117,迎廣,市,10/02,42.1,3.8,9.92,10.0,8.86,8.86,37.3,37.8,21.8,nan,nan,nan,nan,nan,nan,電腦及週邊設備業,賴文賢,黃國輝
4764,雙鍵,市,10/02,43.5,0.0,0.0,10.0,8.55,8.55,37.2,29.6,5.75,nan,nan,nan,nan,nan,nan,化學工業,蔡茂德,陳仲平
