YYYY,@YYYY,ownerDate,cashDividendDate,price,priceBackDate,backDays,giveDate,stockDividendDate,@price,@priceBackDate,@priceBackDays,cashDividend,shareCashDividend,cashDividendTotal,stockDividend,shareStockDividend,stockDividendTotal,dividendTotal
2023,2022全年,23'05/25,23'07/04,62.0,23'07/21,14.0,23'07/28,,,,,3.901,0.0,3.901,0,0,0,3.901
2022,2021全年,22'05/26,22'06/23,55.7,22'06/27,3.0,22'07/21,,,,,3.102,0.0,3.102,0,0,0,3.102
2021,2020全年,21'05/28,21'08/09,56.2,21'12/23,96.0,21'09/10,,,,,3.001,0.0,3.001,0,0,0,3.001
2020,2019全年,20'06/23,20'07/20,43.9,20'08/26,28.0,20'08/21,,,,,2.4,0.0,2.4,0,0,0,2.4
2019,2018全年,19'06/18,19'07/22,51.1,19'07/24,3.0,19'08/23,,,,,2.4,0.0,2.4,0,0,0,2.4
2018,2017全年,18'05/30,18'07/05,55.8,18'08/07,24.0,18'08/08,,,,,3.201,0.0,3.201,0,0,0,3.201
2017,2016全年,17'05/25,17'06/26,64.2,17'08/01,27.0,17'07/28,,,,,2.5,0.0,2.5,0,0,0,2.5
2016,2015全年,16'06/20,16'07/19,42.65,16'08/09,16.0,16'08/24,,,,,2.101,0.0,2.101,0,0,0,2.101
2015,2014全年,15'06/29,15'07/30,35.2,15'08/11,9.0,15'09/03,,,,,1.8,0.0,1.8,0,0,0,1.8
2014,2013全年,14'06/24,14'07/11,46.15,14'07/11,1.0,,,,,,0.8,0.0,0.8,0,0,0,0.8
2013,2012全年,13'06/25,13'07/15,24.05,13'07/25,9.0,,,,,,1.5,0.0,1.5,0,0,0,1.5
2012,2011全年,12'06/19,12'07/16,,12'07/16,1.0,,,,,,0.4,0.1,0.5,0,0,0,0.5
2011,2010全年,11'06/02,11'06/21,,11'06/23,3.0,,,,,,1.0,0.0,1.0,0,0,0,1.0
2010,2009全年,10'06/25,,,,,,,,,,0.0,0.0,0.0,0,0,0,0.0
