YYYY,@YYYY,ownerDate,cashDividendDate,price,priceBackDate,backDays,giveDate,stockDividendDate,@price,@priceBackDate,@priceBackDays,cashDividend,shareCashDividend,cashDividendTotal,stockDividend,shareStockDividend,stockDividendTotal,dividendTotal
2023,2022全年,23'06/21,23'08/25,195,,,23'09/20,,,,,7.8,0,7.8,0,0,0,7.8
2022,2021全年,22'06/23,22'08/19,255,,,22'09/15,,,,,10,0,10,0,0,0,10
2021,2020全年,21'06/24,21'08/23,298,21'08/23,1,21'09/17,,,,,8,0,8,0,0,0,8
2020,2019全年,20'06/19,20'08/21,295.5,20'08/21,1,20'09/17,,,,,4.6,0,4.6,0,0,0,4.6
2019,2018全年,19'06/21,19'08/19,229,19'08/19,1,19'09/19,,,,,4.6,0,4.6,0,0,0,4.6
2018,2017全年,18'06/22,18'08/17,128,18'08/21,3,18'09/19,,,,,3.5,0,3.5,0,0,0,3.5
2017,2016全年,17'06/22,17'08/24,147,17'08/30,5,17'09/22,,,,,5,0,5,0,0,0,5
2016,2015全年,16'06/22,16'08/15,209,16'08/17,3,16'09/14,,,,,6.2,0,6.2,0,0,0,6.2
2015,2014全年,15'06/25,15'08/13,224.5,15'08/13,1,15'09/18,,,,,6.6,0,6.6,0,0,0,6.6
2014,2013全年,14'06/23,14'08/11,234,14'08/13,3,14'09/17,,,,,6,0,6,0,0,0,6
2013,2012全年,13'06/19,13'08/19,206,13'09/06,14,,,,,,5.5,0,5.5,0,0,0,5.5
2012,2011全年,12'06/22,12'08/16,164.5,12'08/17,2,,,,,,5.5,0,5.5,0,0,0,5.5
2011,2010全年,11'06/15,11'07/26,114,11'07/29,4,,,,,,5,0,5,0,0,0,5
2010,2009全年,10'06/25,10'08/13,113.5,10'09/01,14,,10'08/13,113.5,10'09/01,14,4.5,0,4.5,0,0,0,4.5
2009,2008全年,09'06/16,09'08/06,74.5,10'01/07,109,,09'08/06,74.5,10'01/07,109,2,0,2,2,0,2,4
2008,2007全年,08'06/13,08'08/07,79.2,08'08/15,7,,08'08/07,79.2,08'08/15,7,3,0,3,0.5,0,0.5,3.5
2007,2006全年,07'06/15,07'08/08,67.3,07'08/09,2,,,,,,3,0,3,0,0,0,3
2006,2005全年,06'06/23,06'08/03,47.3,06'08/09,5,,,,,,3,0,3,0,0,0,3
2005,2004全年,05'06/17,05'07/18,53.6,05'07/19,1,,,,,,3,0,3,0,0,0,3
2004,2003全年,04'06/15,04'07/07,39.4,04'07/22,12,,,,,,3,0,3,0,0,0,3
2003,2002全年,03'05/30,03'07/03,38.1,03'07/28,18,,,,,,2,0,2,0,0,0,2
2002,2001全年,02'06/21,02'08/02,36.12,02'08/08,5,,02'08/02,36.12,02'08/08,5,1,0,1,0.7,0,0.7,1.7
2001,2000全年,01'05/03,01'07/09,38.5,02'10/22,318,,01'07/09,38.5,02'10/22,318,0.7,0,0.7,1.5,0,1.5,2.2
2000,1999全年,00'06/02,00'07/21,41,00'07/29,7,,00'07/21,41,00'07/29,7,0.7,0,0.7,1.38,0.12,1.5,2.2
1999,1998全年,99'05/28,99'07/16,37.3,99'08/21,30,,99'07/16,37.3,99'08/21,30,1,0,1,0.8,0.2,1,2
1998,1997全年,98'05/29,98'06/17,56,98'06/17,1,,98'08/01,,98'08/26,20,1,0,1,0.5,0.5,1,2
1997,1996全年,97'05/31,97'06/28,,97'06/30,2,,,,,,1,0,1,0,1,1,2
1996,1995全年,96'05/25,96'06/12,,96'06/13,2,,96'07/16,,96'09/26,61,1,0,1,0,1,1,2
1995,1994全年,95'05/06,,,,,,,,,,1,0,1,0.5,0.5,1,2
1994,1993全年,,,,,,,,,,,0.5,0,0.5,0,0,0,0.5
1993,1992全年,,,,,,,,,,,1,0,1,1,1,2,3
