YYYY,@YYYY,ownerDate,cashDividendDate,price,priceBackDate,backDays,giveDate,stockDividendDate,@price,@priceBackDate,@priceBackDays,cashDividend,shareCashDividend,cashDividendTotal,stockDividend,shareStockDividend,stockDividendTotal,dividendTotal
2023,2022全年,23'05/19,23'06/05,695.0,,,23'06/30,23'08/15,542.0,,,15.0,0.0,15.0,0,1,1,16.0
2022,2021全年,22'05/20,22'06/30,625.0,22'07/07,6.0,22'07/29,22'06/30,625.0,22'07/07,6.0,13.0,0.0,13.0,1,1,2,15.0
2021,2020全年,21'05/18,21'07/05,1535.0,21'08/10,27.0,21'07/30,21'07/05,1535.0,21'08/10,27.0,10.0,0.0,10.0,2,1,3,13.0
2020,2019全年,20'05/15,20'06/02,577.0,20'06/04,3.0,20'06/30,,,,,8.379,0.121,8.5,0,0,0,8.5
2019,2018全年,19'05/16,19'06/03,253.0,19'06/24,15.0,19'06/28,,,,,6.922,2.078,9.0,0,0,0,9.0
2018,2017全年,18'05/17,18'06/04,232.0,19'02/13,172.0,18'06/27,,,,,7.774,0.226,8.0,0,0,0,8.0
2017,2016全年,17'05/17,17'06/05,220.5,17'09/06,68.0,17'06/27,,,,,7.159,0.841,8.0,0,0,0,8.0
2016,2015全年,16'04/20,16'05/06,212.5,16'05/09,2.0,16'05/31,,,,,5.72,1.28,7.0,0,0,0,7.0
2015,2014全年,15'05/06,15'06/01,282.0,15'06/01,1.0,15'06/24,,,,,7.55,0.93,8.48,0,0,0,8.48
2014,2013全年,14'05/14,14'05/29,,14'06/09,7.0,,,,,,3.07,0.43,3.5,0,0,0,3.5
2013,2012全年,13'05/08,,,,,,,,,,3.92,0.0,3.92,0,0,0,3.92
2012,2011全年,12'06/05,,,,,,,,,,4.394,0.0,4.394,1,0,1,5.394
2011,2010全年,11'04/18,,,,,,,,,,8.12,0.0,8.12,0,0,0,8.12
2010,2009全年,10'04/29,,,,,,,,,,5.08,0.0,5.08,4,0,4,9.08
