stockId,mark
00701,O
00713,O
00730,O
00731,O
00878,O
00900,O
00915,O
00918,O
00919,O
1227,O
1304,O
1314,O
1402,O
1504,O
1723,O
1737,O
1802,O
1907,O
2014,O
2027,O
2308,O
2352,O
2360,O
2498,O
2542,O
2801,O
2809,O
2834,O
2838,O
2880,O
2884,O
2887,O
2888,O
2903,O
2915,O
3023,O
3036,O
3481,O
5880,O
8215,O
8938,O
