YYYY,@YYYY,ownerDate,cashDividendDate,price,priceBackDate,backDays,giveDate,stockDividendDate,@price,@priceBackDate,@priceBackDays,cashDividend,shareCashDividend,cashDividendTotal,stockDividend,shareStockDividend,stockDividendTotal,dividendTotal
2023,2022全年,,,,,,,,,,,0,0,0,0,0,0,0
2022,2021全年,,22'07/26,66.5,22'07/26,1,22'08/22,,,,,0.508,0,0.508,0,0,0,0.508
2021,2020全年,,21'07/21,146,21'07/21,1,21'08/17,,,,,1.314,0,1.314,0,0,0,1.314
2020,2019全年,20'06/24,20'07/21,132,20'07/21,1,20'08/17,,,,,0.7,0,0.7,0,0,0,0.7
2019,2018全年,19'06/14,,,,,,,,,,0,0,0,0,0,0,0
2018,2017全年,18'06/13,,,,,,,,,,0,0,0,0,0,0,0
2017,2016全年,17'06/22,17'07/27,212,,,17'08/31,17'07/27,212,,,4.963,0,4.963,0.62,0,0.62,5.583
2016,2015全年,16'06/21,16'08/10,345.5,16'10/03,36,16'09/13,16'08/10,345.5,16'10/03,36,5.238,0,5.238,1.048,0,1.048,6.286
2015,2014全年,15'06/22,15'08/25,277.5,15'08/26,2,15'09/23,15'08/25,277.5,15'08/26,2,4.521,0,4.521,0.696,0,0.696,5.216
2014,2013全年,14'06/24,14'08/11,288,14'09/01,16,14'09/10,14'08/11,288,14'09/01,16,3.613,0,3.613,0.556,0,0.556,4.169
2013,2012全年,13'06/26,13'07/15,149.01,13'07/16,2,,,,,,2.99,0,2.99,0,0,0,2.99
2012,2011全年,12'06/19,12'08/01,163.79,13'08/05,250,,12'08/01,163.79,13'08/05,250,3.643,0,3.643,1.561,0,1.561,5.204
2011,2010全年,11'06/17,11'07/19,165.84,11'07/28,8,,11'07/19,165.84,11'07/28,8,3.782,0,3.782,1.621,0,1.621,5.403
2010,2009全年,10'06/14,10'07/29,106.05,10'07/29,1,,10'07/29,106.05,10'07/29,1,1.631,0,1.631,0.408,0,0.408,2.039
2009,2008全年,09'06/10,09'07/21,46.37,09'07/28,6,,,,,,0.526,0,0.526,0,0,0,0.526
2008,2007全年,,,,,,,,,,,0,0,0,0,0,0,0
2007,2006全年,,,,,,,,,,,0,0,0,0,0,0,0
2006,2005全年,06'06/26,06'08/30,33.41,06'08/30,1,,06'08/30,33.41,06'08/30,1,0.3,0,0.3,0.075,0,0.075,0.375
2005,2004全年,05'06/24,05'08/12,38.52,05'08/12,1,,05'08/12,38.52,05'08/12,1,0.723,0,0.723,0.32,0,0.32,1.043
2004,2003全年,,,,,,,,,,,0.29,0,0.29,0.7,0,0.7,0.99
2003,2002全年,,,,,,,,,,,0,0,0,0,0,0,0
