YYYY,@YYYY,ownerDate,cashDividendDate,price,priceBackDate,backDays,giveDate,stockDividendDate,@price,@priceBackDate,@priceBackDays,cashDividend,shareCashDividend,cashDividendTotal,stockDividend,shareStockDividend,stockDividendTotal,dividendTotal
2023,2022全年,,23'04/20,24.45,23'05/11,15,23'05/19,,,,,1,0.2,1.2,0,0,0,1.2
2022,2021全年,,22'04/22,23.4,23'03/31,231,22'05/20,,,,,1.6,0.4,2,0,0,0,2
2021,2020全年,,21'04/23,25.8,23'05/26,511,21'05/21,,,,,1.2,0.4,1.6,0,0,0,1.6
2020,2019全年,20'06/19,20'07/17,18.8,20'09/02,34,20'08/14,,,,,1,0.2,1.2,0,0,0,1.2
2019,2018全年,19'06/21,19'07/15,19.25,20'07/08,239,19'08/09,,,,,1,0.2,1.2,0,0,0,1.2
2018,2017全年,18'06/22,18'07/23,18.65,19'04/24,184,18'08/17,,,,,1,0.2,1.2,0,0,0,1.2
2017,2016全年,17'06/22,17'07/27,19.45,17'08/22,19,17'08/23,,,,,1,0.2,1.2,0,0,0,1.2
2016,2015全年,16'06/24,16'07/26,19.9,17'07/11,235,16'08/23,,,,,1,0.2,1.201,0,0,0,1.201
2015,2014全年,15'06/26,15'08/06,19.45,15'10/07,43,15'09/03,,,,,1,0.5,1.5,0,0,0,1.5
2014,2013全年,14'06/20,14'08/07,27.6,15'04/16,169,14'09/04,,,,,0.5,0.5,0.999,0,0,0,0.999
2013,2012全年,13'06/21,13'08/08,18.95,13'08/26,12,,,,,,1.007,0,1.007,0,0,0,1.007
2012,2011全年,12'06/22,12'08/09,26.2,12'08/09,1,,,,,,1.4,0,1.4,0,0,0,1.4
2011,2010全年,11'06/24,11'08/04,34.65,23'08/17,2953,,,,,,2.709,0,2.709,0,0,0,2.709
2010,2009全年,10'06/18,10'08/11,36.5,10'12/02,81,,10'08/11,36.5,10'12/02,81,2.368,0,2.368,0,0.197,0.197,2.565
2009,2008全年,09'06/19,09'08/18,31.35,09'08/28,9,,09'08/18,31.35,09'08/28,9,1.5,0,1.5,0.02,0.03,0.05,1.55
2008,2007全年,08'06/13,08'08/25,28.6,09'05/06,173,,08'08/25,28.6,09'05/06,173,2.4,0,2.4,0.02,0.03,0.05,2.45
2007,2006全年,07'06/15,07'08/10,34.7,07'08/23,10,,07'08/10,34.7,07'08/23,10,1.7,0,1.7,0.02,0.03,0.05,1.75
2006,2005全年,06'06/09,06'08/07,27.85,06'09/11,26,,06'08/07,27.85,06'09/11,26,1.469,0,1.469,0.196,0.098,0.294,1.763
2005,2004全年,05'06/10,05'07/28,28.9,05'08/03,5,,05'07/28,28.9,05'08/03,5,1.093,0,1.093,0.199,0.199,0.398,1.491
2004,2003全年,04'06/15,04'08/02,29.5,04'09/20,34,,04'08/02,29.5,04'09/20,34,2.046,0,2.046,0.205,0.511,0.716,2.762
2003,2002全年,03'06/10,03'07/29,51,,,,03'07/29,51,,,1,0,1,0.5,1,1.5,2.5
2002,2001全年,02'05/24,02'07/03,,02'07/08,4,,02'07/03,,02'07/08,4,0.5,0,0.5,1,1,2,2.5
2001,2000全年,01'04/03,01'05/07,,03'07/23,548,,01'05/07,,03'07/23,548,0.5,0,0.5,1.5,1,2.5,3
2000,1999全年,00'03/30,00'04/28,,,,,00'04/28,,,,2,0,2,0.7,2.3,3,5
1999,1998全年,99'04/08,99'05/07,,99'06/23,36,,99'05/07,,99'06/23,36,1,0,1,3.5,0,3.5,4.5
1998,1997全年,98'04/08,,,,,,,,,,0,0,0,1,3,4,4
1997,1996全年,97'05/29,,,,,,97'06/27,,97'07/17,17,0,0,0,0.6,2.4,3,3
1996,1995全年,96'03/27,96'04/26,,96'04/30,4,,96'04/26,,96'04/30,4,0.5,0,0.5,0.3,1.2,1.5,2
1995,1994全年,95'03/31,,,,,,95'07/25,,96'09/09,326,0,0,0,1.5,1,2.5,2.5
1994,1993全年,94'04/23,,,,,,,,,,0,0,0,1,1,2,2
1993,1992全年,93'04/13,,,,,,93'08/27,35.55,93'10/12,37,0,0,0,0,1,1,1
1992,1991全年,92'04/30,92'06/03,52.6,92'06/03,1,,92'08/11,34.01,93'03/23,169,1.4,0,1.4,0.3,1.4,1.7,3.1
1991,1990全年,91'03/20,,,,,,,,,,0,0,0,1.5,1.6,3.1,3.1
1990,1989全年,,,,,,,,,,,1.2,0,1.2,0,0,0,1.2
