YYYY,@YYYY,ownerDate,cashDividendDate,price,priceBackDate,backDays,giveDate,stockDividendDate,@price,@priceBackDate,@priceBackDays,cashDividend,shareCashDividend,cashDividendTotal,stockDividend,shareStockDividend,stockDividendTotal,dividendTotal
2023,2022全年,,23'06/29,25.6,,,23'07/21,,,,,1.08,0,1.08,0,0,0,1.08
2022,2021全年,,22'07/19,25.7,22'08/15,20,22'08/05,,,,,2.4,0,2.4,0,0,0,2.4
2021,2020全年,21'06/22,21'08/25,31.15,21'08/25,1,21'09/15,,,,,0.36,0,0.36,0,0,0,0.36
2020,2019全年,20'06/19,20'07/17,16.9,20'08/31,32,20'08/20,,,,,0.5,0,0.5,0,0,0,0.5
2019,2018全年,19'06/06,19'08/30,23.95,19'09/16,11,19'09/25,,,,,0.98,0,0.98,0,0,0,0.98
2018,2017全年,18'06/21,18'07/18,29.85,18'07/19,2,18'08/16,,,,,0.96,0,0.96,0,0,0,0.96
2017,2016全年,17'06/22,17'07/28,35.25,17'11/13,75,17'08/25,,,,,1,0,1,0,0,0,1
2016,2015全年,16'06/24,16'08/25,27.85,16'08/26,2,16'09/23,,,,,1.06,0,1.06,0,0,0,1.06
2015,2014全年,15'06/10,15'08/25,16.5,15'08/25,1,15'09/23,,,,,1.52,0,1.52,0,0,0,1.52
2014,2013全年,14'06/11,14'07/15,40.05,14'07/28,9,,14'07/15,40.05,14'07/28,9,1.37,0,1.37,0.5,0,0.5,1.87
2013,2012全年,13'06/18,13'07/16,55.6,,,,,,,,2.6,0,2.6,0,0,0,2.6
2012,2011全年,12'06/06,12'07/17,64.1,,,,12'07/17,64.1,,,5,0,5,1,0,1,6
2011,2010全年,11'06/10,11'07/14,74.4,,,,11'07/14,74.4,,,3.5,0,3.5,1,0,1,4.5
2010,2009全年,10'06/15,10'07/28,46.25,10'10/04,48,,,,,,3.2,0,3.2,0,0,0,3.2
2009,2008全年,09'06/10,09'07/28,38.5,10'01/11,118,,,,,,2.8,0,2.8,0,0,0,2.8
2008,2007全年,08'06/13,08'07/09,41.6,10'04/26,448,,,,,,4.4,0,4.4,0,0,0,4.4
2007,2006全年,07'06/07,07'07/11,37.45,07'07/18,6,,,,,,2.75,0,2.75,0,0,0,2.75
2006,2005全年,06'05/26,06'07/11,20.85,06'12/04,103,,06'07/11,20.85,06'12/04,103,2,0,2,0.65,0,0.65,2.65
2005,2004全年,05'05/31,05'07/07,15.2,05'08/30,37,,,,,,1.65,0,1.65,0,0,0,1.65
2004,2003全年,04'05/27,04'07/13,13.2,04'10/11,62,,,,,,0.9,0,0.9,0,0,0,0.9
2003,2002全年,03'05/30,,,,,,,,,,0,0,0,0,0,0,0
2002,2001全年,02'06/20,02'07/24,8.7,02'07/24,1,,,,,,0.35,0,0.35,0,0,0,0.35
2001,2000全年,01'05/17,,,,,,,,,,0,0,0,0,0,0,0
2000,1999全年,00'05/27,,,,,,,,,,0,0,0,0,0,0,0
1999,1998全年,99'05/29,,,,,,99'07/23,,99'07/23,1,0,0,0,0.5,0,0.5,0.5
1998,1997全年,98'05/26,,,,,,98'07/18,,07'04/03,2210,0,0,0,1.5,0,1.5,1.5
1997,1996全年,97'05/24,,,,,,97'07/25,34.7,07'09/03,2585,0,0,0,3.5,0,3.5,3.5
1996,1995全年,96'06/16,96'07/10,36.8,96'09/17,58,,,,,,3.5,0,3.5,0,0,0,3.5
1995,1994全年,95'06/27,,,,,,95'08/09,31,95'09/08,27,0,0,0,2,0,2,2
1994,1993全年,94'04/28,94'05/27,33.3,94'06/02,6,,,,,,1.2,0,1.2,0,0,0,1.2
1993,1992全年,93'05/14,93'06/10,25.8,93'10/22,111,,,,,,1,0,1,0,0,0,1
1992,1991全年,92'05/14,92'06/01,30.5,92'06/13,10,,,,,,1.6,0,1.6,0,0,0,1.6
1991,1990全年,,,,,,,,,,,0,0,0,1.2,0,1.2,1.2
1990,1989全年,,,,,,,,,,,3.3,0,3.3,0,0,0,3.3
1989,1988全年,,,,,,,,,,,2.3,0,2.3,1.5,0,1.5,3.8
1988,1987全年,,,,,,,,,,,0,0,0,1.8,0,1.8,1.8
股利  發放  年度,股利所屬  盈餘期間,股東會  日期,除息日程,除息日程,除息日程,除息日程,除息日程,除權日程,除權日程,除權日程,除權日程,股東股利 (元/股),股東股利 (元/股),股東股利 (元/股),股東股利 (元/股),股東股利 (元/股),股東股利 (元/股),股東股利 (元/股)
股利  發放  年度,股利所屬  盈餘期間,股東會  日期,除息  交易日,除息  參考  價,填息  完成日,填息  花費  日數,現金  股利  發放日,除權  交易日,除權  參考  價,填權  完成日,填權  花費  日數,現金股利,現金股利,現金股利,股票股利,股票股利,股票股利,股利  合計
股利  發放  年度,股利所屬  盈餘期間,股東會  日期,除息  交易日,除息  參考  價,填息  完成日,填息  花費  日數,現金  股利  發放日,除權  交易日,除權  參考  價,填權  完成日,填權  花費  日數,盈餘,公積,合計,盈餘,公積,合計,股利  合計
1987,1986全年,,,,,,,,,,,0,0,0,2.1,0.2,2.3,2.3
1986,1985全年,,,,,,,,,,,0,0,0,0.85,0.25,1.1,1.1
1985,1984全年,,,,,,,,,,,0.6,0,0.6,0.5,0.5,1,1.6
1984,1983全年,,,,,,,,,,,0.75,0,0.75,0,0.5,0.5,1.25
