Date,Open,High,Low,Close,Volume,Adj Close
2011-09-14,104.11,119.61,104.11,115.81,1172000.0,
2011-09-15,119.32,143.88,115.22,143.88,751000.0,
2011-09-16,146.22,162.6,143.88,155.0,678000.0,
2011-09-19,157.34,159.68,143.88,146.22,457000.0,
2011-09-20,143.88,156.46,143.88,156.46,712000.0,
2011-09-21,167.28,167.28,165.52,167.28,232000.0,
2011-09-22,178.98,178.98,173.13,178.98,303000.0,
2011-09-23,179.27,191.26,178.39,191.26,416000.0,
2011-09-26,198.28,204.42,178.1,178.1,561000.0,
2011-09-27,180.15,184.53,166.99,171.37,455000.0,
2011-09-28,172.54,183.36,168.45,183.36,246000.0,
2011-09-29,192.72,195.94,192.72,195.94,154000.0,
2011-09-30,209.39,209.39,199.45,209.39,399000.0,
2011-10-03,204.13,215.53,199.45,210.56,141000.0,
2011-10-04,207.64,216.41,203.54,208.81,187000.0,
2011-10-05,208.81,208.81,194.48,194.48,261000.0,
2011-10-06,191.26,196.52,184.53,189.5,238000.0,
2011-10-07,187.17,201.79,187.17,198.86,212000.0,
2011-10-11,198.86,199.16,187.75,194.18,116000.0,
2011-10-12,191.84,195.35,188.92,191.26,44000.0,
2011-10-13,181.32,190.67,181.32,190.67,55000.0,
2011-10-14,190.67,201.79,190.09,193.01,80000.0,
2011-10-17,196.52,196.52,186.0,190.09,100000.0,
2011-10-18,190.09,190.09,182.19,184.24,45000.0,
2011-10-19,184.24,186.87,171.37,171.37,90000.0,
2011-10-20,163.77,166.11,159.38,163.77,268000.0,
2011-10-21,160.85,166.11,153.83,166.11,96000.0,
2011-10-24,166.11,175.17,166.11,173.13,105000.0,
2011-10-25,169.62,170.2,164.35,166.69,43000.0,
2011-10-26,163.18,163.77,163.18,163.77,14000.0,
2011-10-27,164.35,164.35,158.21,158.21,29000.0,
2011-10-28,158.21,164.06,158.21,158.51,53000.0,
2011-10-31,159.09,159.09,149.15,149.15,98000.0,
2011-11-01,148.27,152.07,143.3,146.22,70000.0,
2011-11-02,146.22,156.46,146.22,156.46,59000.0,
2011-11-03,160.55,167.28,159.68,167.28,27000.0,
2011-11-04,178.98,178.98,168.45,175.47,293000.0,
2011-11-07,169.03,176.64,169.03,173.13,42000.0,
2011-11-08,171.67,175.47,167.28,167.28,30000.0,
2011-11-09,167.28,170.79,166.69,168.45,15000.0,
2011-11-10,162.6,167.57,160.26,160.85,18000.0,
2011-11-11,157.92,169.62,157.92,169.03,49000.0,
2011-11-14,167.28,168.45,166.11,168.45,10000.0,
2011-11-15,169.03,169.03,161.72,161.72,5000.0,
2011-11-16,166.4,172.84,163.77,170.2,41000.0,
2011-11-17,164.35,167.28,161.43,167.28,21000.0,
2011-11-18,166.69,166.69,165.52,165.52,2000.0,
2011-11-21,162.6,162.6,154.12,155.0,138000.0,
2011-11-22,155.0,155.0,151.49,152.95,28000.0,
2011-11-23,152.07,153.83,150.9,150.9,25000.0,
2011-11-24,143.3,147.39,141.54,147.39,73000.0,
2011-11-25,148.56,152.07,147.1,150.9,24000.0,
2011-11-28,156.17,159.09,151.49,156.17,19000.0,
2011-11-29,159.68,159.68,152.07,155.0,29000.0,
2011-11-30,155.0,155.0,150.32,153.83,15000.0,
2011-12-01,152.95,156.17,152.95,156.17,11000.0,
2011-12-02,155.0,155.0,152.66,154.41,11000.0,
2011-12-05,152.07,152.66,149.15,150.32,8000.0,
2011-12-06,150.32,152.07,149.15,149.15,25000.0,
2011-12-07,152.66,159.38,152.66,159.38,37000.0,
2011-12-08,166.99,170.5,165.52,170.5,179000.0,
2011-12-09,170.5,182.19,166.69,181.9,123000.0,
2011-12-12,180.73,185.41,176.05,176.05,72000.0,
2011-12-13,174.3,174.3,172.54,174.3,13000.0,
2011-12-14,174.88,186.29,174.88,186.29,85000.0,
2011-12-15,193.01,199.16,193.01,199.16,290000.0,
