YYYY,@YYYY,ownerDate,cashDividendDate,price,priceBackDate,backDays,giveDate,stockDividendDate,@price,@priceBackDate,@priceBackDays,cashDividend,shareCashDividend,cashDividendTotal,stockDividend,shareStockDividend,stockDividendTotal,dividendTotal
2023,2022全年,,23'07/04,109.5,,,23'07/28,,,,,5.3,0,5.3,0,0,0,5.3
2022,2021全年,,22'07/04,101,22'07/14,9,22'07/28,,,,,5.2,0,5.2,0,0,0,5.2
2021,2020全年,,21'07/22,108.5,21'07/22,1,21'08/20,,,,,4,0,4,0,0,0,4
2020,2019全年,20'06/23,20'07/23,81.7,20'12/07,95,20'08/21,,,,,4.2,0,4.2,0,0,0,4.2
2019,2018全年,19'06/21,19'07/25,77.3,19'10/29,64,19'08/23,,,,,4,0,4,0,0,0,4
2018,2017全年,18'06/22,18'07/25,83.2,18'08/07,10,18'08/24,,,,,2,0,2,0,0,0,2
2017,2016全年,17'06/22,17'07/13,114,17'07/20,6,17'08/10,,,,,4.5,0,4.5,0,0,0,4.5
2016,2015全年,16'06/22,16'09/02,75.8,17'02/08,103,16'10/07,16'09/02,75.8,17'02/08,103,4,0,4,1,0,1,5
2015,2014全年,15'06/25,15'09/03,82.7,17'02/14,352,15'10/07,15'09/03,82.7,17'02/14,352,3.8,0,3.8,0.5,0,0.5,4.3
2014,2013全年,14'06/25,14'08/28,98.4,17'06/20,687,14'09/30,14'08/28,98.4,17'06/20,687,1.8,0,1.8,1.2,0,1.2,3
2013,2012全年,13'06/26,13'09/09,74,14'01/15,90,,13'09/09,74,14'01/15,90,1.5,0,1.5,1,0,1,2.5
2012,2011全年,12'06/18,12'08/10,81.4,12'09/04,18,,12'08/10,81.4,12'09/04,18,1.5,0,1.5,1,0,1,2.5
2011,2010全年,11'06/08,11'07/29,81.2,12'01/30,123,,11'07/29,81.2,12'01/30,123,1,0,1,1,0,1,2
2010,2009全年,10'06/08,10'08/25,117,21'03/23,2594,,10'08/25,117,21'03/23,2594,2,0,2,1.2,0,1.2,3.2
2009,2008全年,09'04/16,09'06/02,111.5,09'09/10,73,,09'06/02,111.5,09'09/10,73,1.1,0,1.1,1.5,0,1.5,2.6
2008,2007全年,08'06/02,08'09/16,114.5,09'10/26,278,,08'09/16,114.5,09'10/26,278,3,0,3,1.5,0,1.5,4.5
2007,2006全年,07'06/08,07'08/27,230,,,,07'08/27,230,,,3,0,3,2,0,2,5
2006,2005全年,06'06/14,06'08/17,179.5,06'10/27,50,,06'08/17,179.5,06'10/27,50,3,0,3,2,0,2,5
2005,2004全年,05'06/14,05'09/02,137,05'11/28,61,,05'09/02,137,05'11/28,61,2.447,0,2.447,1.958,0,1.958,4.405
2004,2003全年,04'06/10,04'08/23,104.5,04'10/06,30,,04'08/23,104.5,04'10/06,30,2,0,2,1.5,0,1.5,3.5
2003,2002全年,03'06/09,03'08/07,124.5,03'09/09,24,,03'08/07,124.5,03'09/09,24,1.5,0,1.5,2,0,2,3.5
2002,2001全年,02'06/10,02'07/23,126.49,03'07/14,243,,02'07/23,126.49,03'07/14,243,1.5,0,1.5,1.5,0,1.5,3
2001,2000全年,01'05/31,01'07/02,147.58,02'01/08,130,,01'07/02,147.58,02'01/08,130,1.5,0,1.5,2,0,2,3.5
2000,1999全年,00'06/02,00'07/15,228.8,,,,00'07/15,228.8,,,1,0,1,3,0,3,4
1999,1998全年,99'06/01,,,,,,,,,,0,0,0,4,0,4,4
1998,1997全年,,,,,,,,,,,0,0,0,3.2,0.8,4,4
1997,1996全年,,,,,,,,,,,0,0,0,2.8,1.2,4,4
1996,1995全年,,,,,,,,,,,0,0,0,5,0,5,5
1995,1994全年,,,,,,,,,,,0,0,0,3,1,4,4
1994,1993全年,,,,,,,,,,,0.8,0,0.8,0.9,0.5,1.4,2.2
1993,1992全年,93'06/21,93'07/28,43.2,93'07/28,1,,93'09/11,,93'09/11,1,0.6,0,0.6,0.9,0.5,1.4,2
1992,1991全年,92'05/27,,,,,,92'08/19,52.5,92'12/09,87,0,0,0,1.5,0.5,2,2
1991,1990全年,91'04/26,,,,,,91'08/31,65.5,92'01/10,100,0,0,0,1.5,0,1.5,1.5
1990,1989全年,,,,,,,,,,,0,0,0,3.04,0,3.04,3.04
1989,1988全年,,,,,,,,,,,0,0,0,2.78,0,2.78,2.78
