YYYY,@YYYY,ownerDate,cashDividendDate,price,priceBackDate,backDays,giveDate,stockDividendDate,@price,@priceBackDate,@priceBackDays,cashDividend,shareCashDividend,cashDividendTotal,stockDividend,shareStockDividend,stockDividendTotal,dividendTotal
2023,2022全年,23'05/31,,,,,,,,,,37,0,37,0,0,0,37
2022,2021全年,22'06/08,22'07/12,249,22'11/11,87,22'08/12,,,,,51.5,0,51.5,0,0,0,51.5
2021,2020全年,21'06/08,21'08/17,490.5,21'12/07,78,21'09/17,,,,,15.6,0,15.6,0,0,0,15.6
2020,2019全年,20'06/09,20'07/13,275,20'07/28,12,20'08/14,,,,,9,1.5,10.5,0,0,0,10.5
2019,2018全年,19'06/05,19'07/12,174,19'07/16,3,19'08/15,,,,,8.8,0,8.8,0,0,0,8.8
2018,2017全年,18'06/08,18'07/12,131.5,18'07/17,4,18'08/15,,,,,7.1,0,7.1,0,0,0,7.1
2017,2016全年,17'06/07,17'07/11,116,17'07/20,8,17'08/11,,,,,7,0,7,0,0,0,7
2016,2015全年,16'06/08,16'07/12,117.5,17'05/08,200,16'08/12,,,,,9,0,9,0,0,0,9
2015,2014全年,15'06/16,15'07/14,131,16'01/30,141,15'08/14,,,,,10,0,10,0,0,0,10
2014,2013全年,14'06/06,14'08/14,152,14'11/03,56,14'09/18,,,,,6,0,6,0,0,0,6
2013,2012全年,13'06/11,13'08/15,117,13'08/30,11,,,,,,5.593,0,5.593,0,0,0,5.593
2012,2011全年,12'06/06,12'07/11,86.4,12'08/08,20,,,,,,4.599,0,4.599,0,0,0,4.599
2011,2010全年,11'06/10,11'07/14,82.1,12'01/17,132,,,,,,5.798,0,5.798,0,0,0,5.798
2010,2009全年,10'06/18,10'07/28,85.4,10'10/01,47,,,,,,4.999,0,4.999,0,0,0,4.999
2009,2008全年,09'06/10,09'08/05,83.6,09'08/14,7,,09'08/05,83.6,09'08/14,7,4.5,0,4.5,0.05,0,0.05,4.55
2008,2007全年,08'06/13,08'08/06,57.5,08'08/11,4,,08'08/06,57.5,08'08/11,4,8.56,0,8.56,0.095,0,0.095,8.655
2007,2006全年,07'06/11,07'07/20,161,07'07/26,5,,07'07/20,161,07'07/26,5,7.999,0,7.999,0.2,0,0.2,8.199
2006,2005全年,06'06/12,06'07/20,133.5,06'07/25,4,,06'07/20,133.5,06'07/25,4,7.992,0,7.992,1.099,0,1.099,9.091
2005,2004全年,05'06/13,05'07/21,131,05'11/18,84,,05'07/21,131,05'11/18,84,5.4,0,5.4,1.35,0,1.35,6.749
2004,2003全年,04'06/01,04'08/12,78.5,04'08/27,10,,04'08/12,78.5,04'08/27,10,2.8,0,2.8,1.4,0,1.4,4.2
2003,2002全年,03'06/09,03'08/13,84,03'08/18,4,,03'08/13,84,03'08/18,4,1.5,0,1.5,1.5,0,1.5,3
2002,2001全年,02'06/17,02'08/21,67.79,02'08/22,2,,02'08/21,67.79,02'08/22,2,1,0,1,2,0,2,3
2001,2000全年,01'04/12,,,,,,01'06/13,100,02'04/15,202,0,0,0,5,0,5,5
2000,1999全年,00'06/28,,,,,,00'08/10,,,,0,0,0,5,0,5,5
1999,1998全年,99'06/10,,,,,,99'08/10,,,,0,0,0,4,0,4,4
