YYYY,@YYYY,ownerDate,cashDividendDate,price,priceBackDate,backDays,giveDate,stockDividendDate,@price,@priceBackDate,@priceBackDays,cashDividend,shareCashDividend,cashDividendTotal,stockDividend,shareStockDividend,stockDividendTotal,dividendTotal
2023,2022全年,,23'08/02,209.5,,,23'09/07,,,,,6.5,0,6.5,0,0,0,6.5
2022,2021全年,,22'08/03,184,22'08/10,6,22'09/08,,,,,4.7,0,4.7,0,0,0,4.7
2021,2020全年,,21'08/04,264,,,21'09/07,,,,,7.5,0,7.5,0,0,0,7.5
2020,2019全年,20'06/19,20'08/05,250.5,20'08/18,10,20'09/07,,,,,6.5,0,6.5,0,0,0,6.5
2019,2018全年,19'06/21,19'08/07,217,19'10/23,51,19'09/06,,,,,5.8,0,5.8,0,0,0,5.8
2018,2017全年,18'06/25,18'08/08,193,18'08/10,3,18'09/07,,,,,5.5,0,5.5,0,0,0,5.5
2017,2016全年,17'06/16,17'08/09,199,18'09/13,273,,,,,,5.2,0,5.2,0,0,0,5.2
2016,2015全年,16'06/17,16'08/04,209.5,16'08/05,2,,,,,,4.6,0,4.6,0,0,0,4.6
2015,2014全年,15'06/18,15'07/30,199.5,15'07/30,1,15'09/25,,,,,5,0,5,0,0,0,5
2014,2013全年,14'06/20,14'07/30,207.5,14'07/30,1,14'09/26,,,,,4.5,0,4.5,0,0,0,4.5
2013,2012全年,13'06/21,13'07/31,153.9,13'08/14,11,,,,,,3.1,0,3.1,0,0,0,3.1
2012,2011全年,12'06/21,12'08/01,143.4,12'08/06,3,,,,,,3.6,0,3.6,0,0,0,3.6
2011,2010全年,11'06/17,11'08/03,166.1,13'07/15,484,,,,,,3.4,0,3.4,0,0,0,3.4
2010,2009全年,10'06/18,10'08/04,69.4,10'08/05,2,,,,,,2.6,0,2.6,0,0,0,2.6
2009,2008全年,09'06/19,09'08/05,53.6,09'09/17,31,,,,,,2.5,0,2.5,0,0,0,2.5
2008,2007全年,08'06/13,08'08/06,49.1,09'04/13,170,,,,,,2.3,0,2.3,0,0,0,2.3
2007,2006全年,07'06/15,07'08/08,51.55,07'10/22,51,,07'08/08,51.55,07'10/22,51,2.2,0,2.2,0.2,0,0.2,2.4
2006,2005全年,06'06/14,06'08/08,50.54,07'05/25,197,,06'08/08,50.54,07'05/25,197,2.2,0,2.2,0.4,0,0.4,2.6
2005,2004全年,05'06/14,05'07/19,54,05'12/30,116,,05'07/19,54,05'12/30,116,2,0,2,0.5,0,0.5,2.5
2004,2003全年,04'06/21,04'08/26,50.5,04'11/10,53,,04'08/26,50.5,04'11/10,53,1.5,0,1.5,0.6,0,0.6,2.1
2003,2002全年,03'04/29,03'07/09,35.8,03'07/30,16,,03'07/09,35.8,03'07/30,16,0.7,0,0.7,0.8,0,0.8,1.5
2002,2001全年,02'06/18,02'08/15,24.8,02'08/20,4,,02'08/15,24.8,02'08/20,4,0.2,0,0.2,1,0,1,1.2
2001,2000全年,01'05/28,,,,,,01'07/27,,,,0,0,0,0.8,0,0.8,0.8
2000,1999全年,00'04/14,,,,,,00'07/10,,,,0,0,0,0.4,0.6,1,1
1999,1998全年,99'06/04,,,,,,,,,,0,0,0,0,0,0,0
