Date,Open,High,Low,Close,Volume
2012-09-20,37.02,37.73,36.2,36.31,871000.0
2012-09-21,36.42,37.18,35.48,35.54,562000.0
2012-09-24,35.15,35.48,34.44,34.5,415000.0
2012-09-25,34.83,36.09,34.66,34.77,414000.0
2012-09-26,34.5,34.5,32.36,32.52,414000.0
2012-09-27,32.91,34.77,32.91,34.77,458000.0
2012-09-28,34.83,36.58,34.83,35.26,680000.0
2012-10-01,34.83,34.94,33.95,34.17,301000.0
2012-10-02,34.28,35.54,34.28,34.55,171000.0
2012-10-03,35.1,35.1,33.29,33.56,183000.0
2012-10-04,33.56,35.65,33.56,35.1,311000.0
2012-10-05,35.59,35.59,34.55,34.55,207000.0
2012-10-08,34.55,34.66,33.45,33.45,164000.0
2012-10-09,33.45,33.73,32.74,33.02,133000.0
2012-10-11,32.69,32.69,31.32,31.37,229000.0
2012-10-12,31.53,31.97,31.37,31.37,67000.0
2012-10-15,31.43,31.75,30.99,31.43,42000.0
2012-10-16,31.53,31.53,30.66,30.99,43000.0
2012-10-17,31.1,31.81,30.16,30.16,106000.0
2012-10-18,30.27,30.55,29.78,30.11,116000.0
2012-10-19,29.94,29.94,29.45,29.62,60000.0
2012-10-22,29.45,29.51,28.52,29.51,159000.0
2012-10-23,29.34,29.78,29.18,29.56,107000.0
2012-10-24,28.96,29.29,28.79,28.79,93000.0
2012-10-25,28.79,30.05,28.79,29.51,139000.0
2012-10-26,29.67,29.72,28.19,28.35,101000.0
2012-10-29,28.35,28.68,27.59,28.41,100000.0
2012-10-30,28.3,28.68,27.97,28.52,46000.0
2012-10-31,28.52,28.52,28.08,28.19,46000.0
2012-11-01,28.19,28.24,27.59,28.24,55000.0
2012-11-02,28.52,28.52,27.97,28.41,64000.0
2012-11-05,28.41,28.41,27.81,27.86,24000.0
2012-11-06,28.35,28.35,27.75,27.97,25000.0
2012-11-07,26.98,28.24,26.98,28.24,66000.0
2012-11-08,27.75,28.08,27.42,28.08,29000.0
2012-11-09,28.24,29.83,28.08,29.62,168000.0
2012-11-12,29.51,29.51,28.63,29.01,60000.0
2012-11-13,29.01,29.29,28.08,28.24,28000.0
2012-11-14,28.79,28.79,28.24,28.52,12000.0
2012-11-15,28.52,28.52,27.75,28.52,17000.0
2012-11-16,28.52,28.68,27.86,28.52,36000.0
2012-11-19,28.3,28.35,27.7,27.75,19000.0
2012-11-20,27.81,27.81,26.41,27.2,136000.0
2012-11-21,26.98,27.26,26.65,27.12,37000.0
2012-11-22,26.82,27.17,26.82,27.15,6000.0
2012-11-23,27.15,27.86,27.15,27.64,25000.0
2012-11-26,27.81,27.97,27.53,27.97,37000.0
2012-11-27,28.02,28.52,27.59,27.97,20000.0
2012-11-28,27.97,28.52,27.7,27.97,41000.0
2012-11-29,28.41,28.41,27.7,28.13,20000.0
2012-11-30,28.41,28.41,27.97,27.97,35000.0
2012-12-03,27.97,29.89,27.97,29.89,428000.0
2012-12-04,29.89,30.16,29.18,29.51,213000.0
2012-12-05,29.62,30.6,29.34,30.11,171000.0
2012-12-06,30.11,30.16,29.45,29.72,153000.0
2012-12-07,30.05,30.05,29.12,29.67,44000.0
2012-12-10,29.62,29.62,28.68,29.45,73000.0
2012-12-11,29.45,29.78,29.29,29.62,31000.0
2012-12-12,29.4,29.89,29.07,29.83,78000.0
2012-12-13,29.78,29.83,29.34,29.34,38000.0
2012-12-14,29.07,29.12,28.79,28.79,45000.0
2012-12-17,28.96,29.45,28.68,28.74,31000.0
2012-12-18,29.18,29.34,28.02,28.63,63000.0
2012-12-19,28.79,29.12,28.74,29.12,46000.0
2012-12-20,29.23,29.23,28.52,28.52,19000.0
2012-12-21,28.52,29.01,28.3,28.96,25000.0
2012-12-22,29.07,29.07,28.68,29.01,9000.0
2012-12-24,28.85,28.85,28.02,28.63,81000.0
2012-12-25,28.52,29.4,28.52,29.34,58000.0
2012-12-26,29.51,29.56,28.63,29.12,37000.0
2012-12-27,28.85,29.01,28.52,28.85,61000.0
2012-12-28,28.9,29.45,28.9,29.4,93000.0
