YYYY,@YYYY,ownerDate,cashDividendDate,price,priceBackDate,backDays,giveDate,stockDividendDate,@price,@priceBackDate,@priceBackDays,cashDividend,shareCashDividend,cashDividendTotal,stockDividend,shareStockDividend,stockDividendTotal,dividendTotal
2023,2022全年,,,,,,,,,,,15,0,15,0,0,0,15
2022,2021全年,,22'06/28,156.5,22'09/13,55,22'07/25,,,,,13.13,0,13.13,0,0,0,13.13
2021,2020全年,,21'06/18,220.5,23'03/03,417,21'07/16,,,,,17,0,17,0,0,0,17
2020,2019全年,20'05/28,20'06/17,211,20'07/13,17,20'07/14,,,,,13,0,13,0,0,0,13
2019,2018全年,19'06/19,19'07/09,147.5,19'07/12,4,19'08/05,,,,,10,0,10,0,0,0,10
2018,2017全年,18'06/12,18'07/02,60.4,18'12/10,107,18'07/27,,,,,5,1,6,0,0,0,6
2017,2016全年,17'06/22,17'07/11,60.5,18'03/27,176,17'08/07,,,,,6,0,6,0,0,0,6
2016,2015全年,16'06/14,16'06/30,47.5,17'02/02,144,16'07/27,,,,,4.5,0,4.5,0,0,0,4.5
2015,2014全年,15'06/16,15'07/03,31.45,15'09/18,55,15'07/31,,,,,2.5,0,2.5,0,0,0,2.5
2014,2013全年,14'06/17,14'07/07,31.4,15'03/12,168,,,,,,2.4,0,2.4,0,0,0,2.4
2013,2012全年,13'06/17,13'07/03,28.2,13'07/16,10,,,,,,1.8,0,1.8,0,0,0,1.8
2012,2011全年,12'06/12,12'07/12,25.75,13'03/13,165,,,,,,3,0,3,0,0,0,3
2011,2010全年,11'06/22,11'07/15,37.5,14'02/26,649,,,,,,3.972,0,3.972,0,0,0,3.972
2010,2009全年,10'06/18,10'07/13,35.5,10'07/13,1,,,,,,1.515,0,1.515,0,0,0,1.515
2009,2008全年,09'06/10,09'07/10,14.95,09'07/29,14,,,,,,0.97,0,0.97,0,0,0,0.97
2008,2007全年,08'06/13,08'07/16,22.3,09'11/20,340,,,,,,2.9,0,2.9,0,0,0,2.9
2007,2006全年,07'05/24,07'06/27,32.05,10'07/06,755,,,,,,2,0,2,0,0,0,2
2006,2005全年,06'06/09,06'08/01,22.55,07'01/05,111,,06'08/01,22.55,07'01/05,111,2,0,2,0.5,0,0.5,2.5
2005,2004全年,05'06/10,05'07/27,33.75,10'07/15,1236,,05'07/27,33.75,10'07/15,1236,1.981,0,1.981,0.793,0,0.793,2.774
2004,2003全年,04'05/27,04'07/27,28.5,04'08/26,21,,04'07/27,28.5,04'08/26,21,2.116,0,2.116,0.907,0,0.907,3.023
2003,2002全年,03'05/20,03'07/18,31.2,03'07/24,5,,03'07/18,31.2,03'07/24,5,1.5,0,1.5,0.5,0,0.5,2
2002,2001全年,02'05/20,02'07/05,,02'07/08,2,,02'07/05,,02'07/08,2,0.8,0,0.8,0.9,0,0.9,1.7
2001,2000全年,01'05/16,01'07/03,,01'12/06,107,,01'07/03,,01'12/06,107,1.4,0,1.4,0.7,0.4,1.1,2.5
2000,1999全年,00'05/26,00'07/15,41.5,00'07/15,1,,00'07/15,41.5,00'07/15,1,0.4,0,0.4,2,0.5,2.5,2.9
1999,1998全年,99'06/07,,,,,,,,,,0.3,0,0.3,2.5,0,2.5,2.8
1998,1997全年,98'05/11,,,,,,98'06/12,,99'07/23,301,0,0,0,2.5,0,2.5,2.5
1997,1996全年,,,,,,,,,,,0,0,0,2,0,2,2
1996,1995全年,,,,,,,,,,,0,0,0,2,0,2,2
1995,1994全年,,,,,,,,,,,0,0,0,3,0,3,3
1994,1993全年,,,,,,,,,,,0,0,0,0,0,0,0
1993,1992全年,,,,,,,,,,,0,0,0,0,0,0,0
