YYYY,@YYYY,ownerDate,cashDividendDate,price,priceBackDate,backDays,giveDate,stockDividendDate,@price,@priceBackDate,@priceBackDays,cashDividend,shareCashDividend,cashDividendTotal,stockDividend,shareStockDividend,stockDividendTotal,dividendTotal
2023,2022全年,,23'07/05,293.5,23'07/05,1,23'08/01,,,,,0,3.46,3.46,0,0,0,3.46
2022,2021全年,,22'08/04,131.5,22'08/04,1,22'08/31,,,,,0,1.931,1.931,0,0,0,1.931
2021,2020全年,,21'07/07,106.5,21'07/07,1,21'08/03,,,,,0.35,0,0.35,0,0,0,0.35
2020,2019全年,20'06/30,,,,,,,,,,0,0,0,0,0,0,0
2019,2018全年,19'06/24,,,,,,,,,,0,0,0,0,0,0,0
2018,2017全年,18'06/26,,,,,,,,,,0,0,0,0,0,0,0
2017,2016全年,17'06/27,,,,,,,,,,0,0,0,0,0,0,0
2016,2015全年,16'06/27,,,,,,,,,,0,0,0,0,0,0,0
2015,2014全年,,,,,,,,,,,0,0,0,0,0,0,0
2014,2013全年,14'06/24,,,,,,,,,,0,0,0,0,0,0,0
2013,2012全年,13'06/03,,,,,,,,,,0,0,0,0,0,0,0
2012,2011全年,12'06/05,,,,,,,,,,0,0,0,0,0,0,0
2011,2010全年,11'06/13,11'09/27,25.8,11'09/27,1,,,,,,0.3,0,0.3,0,0,0,0.3
2010,2009全年,10'06/17,10'09/08,63.11,10'10/04,18,,10'09/08,63.11,10'10/04,18,0.1,0,0.1,0.6,0,0.6,0.7
2009,2008全年,09'06/16,09'08/12,,09'08/12,1,,09'08/12,,09'08/12,1,0.2,0,0.2,0.5,0,0.5,0.7
2008,2007全年,08'06/27,08'08/14,,08'08/14,1,,08'08/14,,08'08/14,1,1,0,1,1,0,1,2
2007,2006全年,07'06/13,07'08/02,,07'08/08,5,,,,,,1,0,1,0,0,0,1
2006,2005全年,06'06/23,06'08/03,,06'08/03,1,,,,,,0.8,0,0.8,0,0,0,0.8
2005,2004全年,05'06/18,05'09/12,,05'09/12,1,,05'09/12,,05'09/12,1,0.8,0,0.8,0.4,0,0.4,1.2
2004,2003全年,,,,,,,,,,,0.7,0,0.7,1.2,0.6,1.8,2.5
