YYYY,@YYYY,ownerDate,cashDividendDate,price,priceBackDate,backDays,giveDate,stockDividendDate,@price,@priceBackDate,@priceBackDays,cashDividend,shareCashDividend,cashDividendTotal,stockDividend,shareStockDividend,stockDividendTotal,dividendTotal
2023,2022全年,23'05/24,23'06/20,33.1,23'08/30,49,23'07/28,,,,,1.8,0,1.8,0,0,0,1.8
2022,2021全年,22'05/27,22'07/13,27.5,22'07/13,1,22'08/17,,,,,1.8,0,1.8,0,0,0,1.8
2021,2020全年,21'05/28,21'09/08,40.3,21'11/09,42,21'10/13,,,,,1.2,0,1.2,0,0,0,1.2
2020,2019全年,20'05/27,20'07/24,31.35,20'09/07,32,20'08/28,,,,,1.189,0,1.189,0,0,0,1.189
2019,2018全年,19'06/18,19'08/09,27.1,19'08/14,3,19'09/12,,,,,1.2,0,1.2,0,0,0,1.2
2018,2017全年,18'06/14,18'08/24,31.6,18'08/29,4,18'09/28,18'08/24,31.6,18'08/29,4,1,0,1,0.2,0,0.2,1.2
2017,2016全年,17'05/26,,,,,,,,,,0,0,0,0,0,0,0
2016,2015全年,16'06/16,,,,,,,,,,0,0,0,0,0,0,0
2015,2014全年,15'06/18,,,,,,,,,,0,0,0,0,0,0,0
2014,2013全年,14'06/18,,,,,,,,,,0,0,0,0,0,0,0
2013,2012全年,13'06/19,,,,,,,,,,0,0,0,0,0,0,0
2012,2011全年,12'06/06,12'07/12,8.11,12'09/14,46,,12'07/12,8.11,12'09/14,46,0.38,0,0.38,0.38,0,0.38,0.76
2011,2010全年,11'06/10,11'07/28,16.6,17'06/06,1442,,,,,,1.696,0,1.696,0,0,0,1.696
2010,2009全年,10'06/09,10'08/13,19.05,10'12/17,90,,,,,,1.485,0,1.485,0,0,0,1.485
2009,2008全年,09'06/10,09'08/26,14.4,09'08/28,3,,09'08/26,14.4,09'08/28,3,0.694,0,0.694,0.397,0,0.397,1.091
2008,2007全年,08'06/06,08'08/26,12.1,09'03/11,133,,08'08/26,12.1,09'03/11,133,0.999,0,0.999,0.1,0,0.1,1.099
2007,2006全年,07'06/29,07'09/13,20.55,07'09/13,1,,07'09/13,20.55,07'09/13,1,0.176,0,0.176,0.176,0,0.176,0.352
2006,2005全年,,,,,,,,,,,0,0,0,0,0,0,0
2005,2004全年,05'05/25,,,,,,,,,,0,0,0,0,0,0,0
2004,2003全年,04'06/18,,,,,,,,,,0,0,0,0,0,0,0
2003,2002全年,03'06/27,,,,,,,,,,0,0,0,0,0,0,0
2002,2001全年,02'05/30,,,,,,02'07/05,13.65,02'07/08,2,0,0,0,0,1,1,1
2001,2000全年,01'04/19,,,,,,01'05/22,29.9,17'08/29,4010,0,0,0,2,1,3,3
2000,1999全年,00'05/03,,,,,,00'06/07,93,,,0,0,0,0.3,1,1.3,1.3
1999,1998全年,99'06/12,,,,,,99'08/09,23,99'08/10,2,0,0,0,0,1,1,1
1998,1997全年,98'06/29,,,,,,98'08/10,,98'08/10,1,0,0,0,1.4,0.8,2.2,2.2
1997,1996全年,97'05/31,,,,,,97'06/28,,97'08/26,49,0,0,0,1,2,3,3
1996,1995全年,96'06/22,,,,,,96'07/24,,97'02/12,156,0,0,0,3.6,1.4,5,5
1995,1994全年,95'06/05,,,,,,95'07/13,,97'06/16,554,0,0,0,2,0,2,2
1994,1993全年,94'05/28,,,,,,,,,,0,0,0,0,0,0,0
1993,1992全年,93'06/19,,,,,,,,,,0,0,0,0,0,0,0
