YYYY,@YYYY,ownerDate,cashDividendDate,price,priceBackDate,backDays,giveDate,stockDividendDate,@price,@priceBackDate,@priceBackDays,cashDividend,shareCashDividend,cashDividendTotal,stockDividend,shareStockDividend,stockDividendTotal,dividendTotal
2023,2022全年,,23'07/11,51,23'07/11,1,23'08/15,,,,,1.5,0,1.5,0,0,0,1.5
2022,2021全年,22'06/17,22'04/15,53.4,22'04/15,1,22'05/20,22'08/30,48.3,23'02/23,117,1.5,0,1.5,0.5,0,0.5,2
2021,2020全年,21'06/11,21'08/23,51.8,21'09/03,10,21'09/24,21'08/23,51.8,21'09/03,10,2.7,0,2.7,0.3,0,0.3,3
2020,2019全年,,20'08/28,46.75,20'12/28,84,20'09/25,,,,,2.2,0,2.2,0,0,0,2.2
2019,2018全年,19'05/31,19'08/27,36.25,19'11/13,53,19'10/01,19'08/27,36.25,19'11/13,53,1.5,0,1.5,0.5,0,0.5,2
2018,2017全年,18'06/15,18'09/05,36.8,19'06/26,195,18'10/02,18'09/05,36.8,19'06/26,195,2,0,2,0.7,0,0.7,2.7
2017,2016全年,17'06/15,17'08/29,30.95,17'09/12,11,17'09/29,,,,,1.5,0,1.5,0,0,0,1.5
2016,2015全年,16'06/24,16'08/26,27.45,16'10/14,32,16'09/29,,,,,0.7,0,0.7,0,0,0,0.7
2015,2014全年,15'06/09,15'08/27,17.05,15'09/08,9,15'09/25,,,,,1,0,1,0,0,0,1
2014,2013全年,14'06/04,14'08/28,27.55,18'04/26,897,14'09/26,14'08/28,27.55,18'04/26,897,1,0,1,3,0,3,4
2013,2012全年,13'06/11,13'08/29,24.9,13'10/03,25,,,,,,1.2,0,1.2,0,0,0,1.2
2012,2011全年,12'06/20,12'08/30,27.75,14'04/02,391,,12'08/30,27.75,14'04/02,391,1.189,0,1.189,0.495,0,0.495,1.684
2011,2010全年,11'06/17,11'08/19,33.85,14'06/27,707,,11'08/19,33.85,14'06/27,707,1.187,0,1.187,0.495,0,0.495,1.682
2010,2009全年,10'06/18,10'08/10,32.1,11'04/14,168,,10'08/10,32.1,11'04/14,168,1.2,0,1.2,0.5,0,0.5,1.7
2009,2008全年,09'06/04,09'08/12,32.75,09'09/11,23,,09'08/12,32.75,09'09/11,23,1.2,0,1.2,0.5,0,0.5,1.7
2008,2007全年,08'05/30,08'08/14,32.4,08'08/15,2,,08'08/14,32.4,08'08/15,2,1.48,0,1.48,0.493,0,0.493,1.973
2007,2006全年,07'06/15,07'08/27,45.35,07'09/28,22,,07'08/27,45.35,07'09/28,22,0.994,0,0.994,0.497,0,0.497,1.491
2006,2005全年,06'06/09,06'08/02,12.55,06'09/21,37,,,,,,1.089,0,1.089,0,0,0,1.089
2005,2004全年,05'06/14,05'08/29,9.55,05'08/31,3,,,,,,0.306,0,0.306,0,0,0,0.306
2004,2003全年,04'06/11,04'08/17,7.75,04'08/31,9,,04'08/17,7.75,04'08/31,9,0.2,0,0.2,0.3,0,0.3,0.5
2003,2002全年,,03'07/23,8.55,03'10/31,71,,,,,,0.5,0,0.5,0,0,0,0.5
2002,2001全年,02'06/25,02'07/29,,02'07/29,1,,,,,,1,0,1,0,0,0,1
2001,2000全年,,,,,,,,,,,0.45,0,0.45,0.45,0,0.45,0.9
2000,1999全年,,,,,,,,,,,0.65,0,0.65,0,0.461,0.461,1.111
1999,1998全年,,,,,,,,,,,0.4,0,0.4,0.3,0.2,0.5,0.9
1998,1997全年,,,,,,,,,,,0,0,0,0.5,0.6,1.1,1.1
1997,1996全年,,,,,,,,,,,0,0,0,0.8,0.3,1.1,1.1
1996,1995全年,96'06/12,96'07/31,,96'08/02,1,,96'07/25,,96'09/13,42,0.4,0,0.4,0.4,0,0.4,0.8
1995,1994全年,,,,,,,,,,,0,0,0,0.3,0.3,0.6,0.6
1994,1993全年,94'06/02,,,,,,94'08/20,,94'08/29,8,0,0,0,0.15,0.35,0.5,0.5
1993,1992全年,93'06/22,,,,,,,,,,0,0,0,0.6,0.4,1,1
1992,1991全年,92'05/30,,,,,,92'11/11,,93'04/07,109,0,0,0,1.4,0.6,2,2
1991,1990全年,91'06/01,,,,,,91'09/21,,91'09/21,1,0,0,0,1.4,1,2.4,2.4
1990,1989全年,,,,,,,,,,,0.5,0,0.5,0.5,1,1.5,2
1989,1988全年,,,,,,,,,,,1,0,1,0.5,0,0.5,1.5
1988,1987全年,,,,,,,,,,,0.5,0,0.5,1,0,1,1.5
1987,1986全年,,,,,,,,,,,0,0,0,0,0,0,0
1985,1984全年,,,,,,,,,,,0.3,0,0.3,0,0,0,0.3
1984,1983全年,,,,,,,,,,,0.4,0,0.4,0,0,0,0.4
