YYYY,@YYYY,ownerDate,cashDividendDate,price,priceBackDate,backDays,giveDate,stockDividendDate,@price,@priceBackDate,@priceBackDays,cashDividend,shareCashDividend,cashDividendTotal,stockDividend,shareStockDividend,stockDividendTotal,dividendTotal
2023,2023上半年,,23'08/17,2015,23'08/17,1,23'09/14,,,,,26.5,0,26.5,0,0,0,26.5
2023,2022下半年,,23'03/16,2270,23'03/22,5,23'04/14,,,,,46,0,46,0,0,0,46
2022,2022上半年,,22'08/18,2035,22'11/15,62,22'09/15,,,,,39.5,0,39.5,0,0,0,39.5
2022,2021下半年,,22'03/15,1975,22'03/18,4,22'04/15,,,,,39,0,39,0,0,0,39
2022,2021上半年,,22'01/12,2440,22'01/12,1,22'02/10,,,,,31.16,0,31.16,0,0,0,31.16
2021,2020全年,,21'08/10,2730,23'05/01,418,21'09/03,,,,,91.5,0,91.5,0,0,0,91.5
2020,2019全年,20'06/10,20'08/11,3920,23'05/01,662,20'09/03,,,,,79,0,79,0,0,0,79
2019,2018全年,19'06/12,19'08/06,3805,19'08/07,2,19'09/04,,,,,68,0,68,0,0,0,68
2018,2017全年,18'06/12,18'08/16,4385,18'08/16,1,18'09/05,,,,,72.5,0,72.5,0,0,0,72.5
2017,2016全年,17'06/14,17'08/17,5500,17'08/17,1,17'09/06,,,,,63.5,0,63.5,0,0,0,63.5
2016,2015全年,16'06/08,16'08/18,3710,16'09/19,22,16'09/08,,,,,63.5,0,63.5,0,0,0,63.5
2015,2014全年,15'06/10,15'08/17,2910,15'08/17,1,15'09/10,,,,,51,0,51,0,0,0,51
2014,2013全年,14'06/18,14'08/21,2410,14'08/22,2,14'09/11,,,,,28.5,0,28.5,0,0,0,28.5
2013,2012全年,13'06/21,13'08/23,1065,13'11/20,62,,,,,,17,0,17,0,0,0,17
2012,2011全年,12'06/18,12'08/09,581,12'08/09,1,,,,,,17,0,17,0,0,0,17
2011,2010全年,11'06/09,11'08/04,975,11'08/04,1,,,,,,13.5,0,13.5,0,0,0,13.5
2010,2009全年,10'06/14,10'08/06,603,10'08/06,1,,,,,,10,0,10,0,0,0,10
2009,2008全年,09'06/10,09'08/07,392,09'08/10,1,,09'08/07,392,09'08/10,1,10,0,10,0.2,0,0.2,10.2
2008,2007全年,08'06/13,08'08/12,438,09'07/28,240,,08'08/12,438,09'07/28,240,9.8,0,9.8,0.2,0,0.2,10
2007,2006全年,07'06/15,07'08/10,369.5,07'10/03,37,,07'08/10,369.5,07'10/03,37,11.4,0,11.4,0.2,0,0.2,11.6
2006,2005全年,06'06/14,06'08/10,716,06'09/19,29,,06'08/10,716,06'09/19,29,7,0,7,0.5,0,0.5,7.5
2005,2004全年,05'06/14,05'08/11,245.5,05'08/19,7,,05'08/11,245.5,05'08/19,7,4.5,0,4.5,0.5,0,0.5,5
2004,2003全年,,04'08/17,194,04'08/19,3,,04'08/17,194,04'08/19,3,6,0,6,1,0,1,7
2003,2002全年,03'06/09,03'08/03,221,03'08/04,1,,03'08/03,221,03'08/04,1,5,0,5,1,0,1,6
2002,2001全年,02'06/28,02'08/28,,02'12/02,67,,02'08/28,,02'12/02,67,3,0,3,3,0,3,6
2001,2000全年,01'07/16,,,,,,01'09/10,,,,0,0,0,7,0,7,7
2000,1999全年,00'09/23,,,,,,,,,,0,0,0,0,0,0,0
