YYYY,@YYYY,ownerDate,cashDividendDate,price,priceBackDate,backDays,giveDate,stockDividendDate,@price,@priceBackDate,@priceBackDays,cashDividend,shareCashDividend,cashDividendTotal,stockDividend,shareStockDividend,stockDividendTotal,dividendTotal
2023,2022全年,23'05/30,23'08/03,271.5,,,23'09/06,,,,,9,0,9,0,0,0,9
2022,2021全年,22'05/26,22'08/03,275.5,22'09/12,28,22'09/06,,,,,7.21,1.79,9,0,0,0,9
2021,2020全年,21'06/16,21'09/07,270.5,21'09/17,9,21'10/13,,,,,9,0,9,0,0,0,9
2020,2019全年,20'06/17,20'08/05,270,20'08/11,5,20'09/09,,,,,9,0,9,0,0,0,9
2019,2018全年,19'06/12,19'07/31,297.5,19'10/22,55,19'09/04,,,,,8.8,0,8.8,0,0,0,8.8
2018,2017全年,18'06/12,18'08/01,311.5,18'09/10,29,18'09/05,,,,,25,0,25,0,0,0,25
2017,2016全年,17'06/13,17'08/02,251.5,17'10/11,49,17'09/06,,,,,8,0,8,0,0,0,8
2016,2015全年,16'06/15,16'08/03,252.5,16'09/08,27,16'09/07,,,,,7.2,0,7.2,0,0,0,7.2
2015,2014全年,15'06/18,15'08/04,222.5,15'08/04,1,15'09/04,,,,,7,0,7,0,0,0,7
2014,2013全年,14'06/19,14'08/06,229,14'11/21,76,14'09/05,,,,,5.15,0.85,6,0,0,0,6
2013,2012全年,13'06/17,13'08/07,205.5,13'08/08,2,,,,,,4.85,0,4.85,0,0,0,4.85
2012,2011全年,12'06/21,12'08/07,157.5,12'08/08,2,,,,,,4.8,0,4.8,0,0,0,4.8
2011,2010全年,11'06/22,11'08/04,175,11'08/24,15,,,,,,4.9,0,4.9,0,0,0,4.9
2010,2009全年,10'06/15,10'08/04,103,10'08/06,3,,,,,,3.6,0,3.6,0,0,0,3.6
2009,2008全年,09'06/10,09'08/12,73.5,10'04/14,168,,09'08/12,73.5,10'04/14,168,2.04,0,2.04,1.36,0,1.36,3.4
2008,2007全年,08'06/13,08'07/31,96.2,10'07/15,490,,,,,,3.2,0,3.2,0,0,0,3.2
2007,2006全年,07'06/15,07'08/02,83.1,07'08/13,8,,,,,,3.5,0,3.5,0,0,0,3.5
2006,2005全年,06'06/14,06'07/20,65.3,06'07/20,1,,,,,,3.4,0,3.4,0,0,0,3.4
2005,2004全年,05'06/14,05'07/21,60.3,05'08/02,9,,,,,,3,0,3,0,0,0,3
2004,2003全年,04'06/29,04'08/11,52,05'04/08,161,,04'08/11,52,05'04/08,161,2.64,0,2.64,0.66,0,0.66,3.3
2003,2002全年,03'06/24,03'08/12,39.9,03'08/27,12,,03'08/12,39.9,03'08/27,12,1.78,0,1.78,1.12,0,1.12,2.9
2002,2001全年,02'06/25,02'08/14,,04'01/28,360,,02'08/14,,04'01/28,360,1.12,0,1.12,1.13,0,1.13,2.25
2001,2000全年,01'06/12,01'08/02,,07'04/11,1408,,01'08/02,,07'04/11,1408,1,0,1,1.5,0,1.5,2.5
2000,1999全年,00'06/15,,,,,,,,,,1.12,0,1.12,1.68,0,1.68,2.8
1999,1998全年,,,,,,,,,,,0.96,0,0.96,1.8,0,1.8,2.76
1998,1997全年,,,,,,,,,,,0.59,0,0.59,2.36,0,2.36,2.95
1997,1996全年,97'05/20,,,,,,,,,,0.65,0,0.65,2.6,0,2.6,3.25
1996,1995全年,96'05/16,,,,,,,,,,0.65,0,0.65,2.6,0,2.6,3.25
1995,1994全年,,,,,,,,,,,0.7,0,0.7,2.8,0,2.8,3.5
1994,1993全年,,,,,,,,,,,1,0,1,2.5,0,2.5,3.5
1993,1992全年,,,,,,,,,,,0,0,0,3.2,0,3.2,3.2
