YYYY,@YYYY,ownerDate,cashDividendDate,price,priceBackDate,backDays,giveDate,stockDividendDate,@price,@priceBackDate,@priceBackDays,cashDividend,shareCashDividend,cashDividendTotal,stockDividend,shareStockDividend,stockDividendTotal,dividendTotal
2023,2022全年,23'06/15,23'09/07,253.0,,,23'10/13,23'09/07,253.0,,,3.848,0.0,3.848,0.995,0.0,0.995,4.843
2022,2021全年,22'06/28,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,2020全年,21'06/29,21'08/23,126.0,21'08/23,1.0,21'09/17,,,,,4.365,0.0,4.365,0.0,0.0,0.0,4.365
2020,2019全年,20'06/05,20'07/23,75.1,20'11/09,75.0,20'08/14,,,,,3.493,0.951,4.444,0.0,0.0,0.0,4.444
2019,2018全年,19'06/06,19'06/24,80.1,20'06/08,234.0,19'07/17,,,,,3.764,0.63,4.393,0.0,0.0,0.0,4.393
2018,2017全年,18'05/30,18'06/14,101.5,20'11/17,595.0,18'07/11,,,,,5.13,0.37,5.5,0.0,0.0,0.0,5.5
2017,2016全年,17'06/07,17'06/26,187.0,17'07/06,9.0,17'07/21,,,,,3.004,0.496,3.5,0.0,0.0,0.0,3.5
2016,2015全年,16'06/06,16'06/28,112.5,16'06/29,2.0,16'07/22,,,,,0.214,0.786,1.0,0.0,0.0,0.0,1.0
2015,2014全年,15'04/16,15'05/04,275.5,15'05/27,18.0,15'05/27,,,,,8.093,0.0,8.093,0.0,0.0,0.0,8.093
2014,2013全年,14'04/08,14'05/06,450.5,,,,14'05/28,426.0,14'06/03,4.0,11.0,1.274,12.27,0.0,0.3,0.3,12.57
2013,2012全年,13'04/09,13'04/24,422.5,13'05/24,22.0,,13'05/28,405.0,13'09/17,80.0,13.67,0.0,13.67,0.0,1.0,1.0,14.67
2012,2011全年,12'03/27,12'04/23,436.0,12'05/03,8.0,,,,,,10.24,0.0,10.24,0.0,0.0,0.0,10.24
2011,2010全年,11'03/01,,,,,,,,,,10.0,0.0,10.0,2.05,0.0,2.05,12.05
