Date,Open,High,Low,Close,Volume,Adj Close
2004-12-07,28.99,29.68,28.3,28.81,1048.0,
2004-12-08,29.16,29.33,28.47,28.81,1157.0,
2004-12-09,28.81,28.99,28.3,28.3,450.0,
2004-12-10,28.3,28.3,27.61,27.95,541.0,
2004-12-13,27.95,28.99,27.95,28.12,384.0,
2004-12-14,28.3,28.64,28.12,28.3,230.0,
2004-12-15,28.3,29.68,28.12,29.68,1394.0,
2004-12-16,29.68,29.68,28.99,29.33,697.0,
2004-12-17,29.33,29.5,28.99,29.5,570.0,
2004-12-20,28.99,30.02,28.81,29.5,814.0,
2004-12-21,29.33,29.33,28.99,28.99,279.0,
2004-12-22,29.16,29.33,28.81,28.81,397.0,
2004-12-23,28.99,29.16,28.64,28.81,166.0,
2004-12-24,28.81,28.99,28.64,28.99,100.0,
2004-12-27,28.99,28.99,28.12,28.3,187.0,
2004-12-28,28.12,28.3,27.95,27.95,149.0,
2004-12-29,28.3,28.64,28.12,28.47,227.0,
2004-12-30,28.64,29.33,28.47,28.64,451.0,
2004-12-31,28.81,28.81,28.3,28.47,195.0,
2005-01-03,28.64,28.81,28.3,28.3,90.0,
2005-01-04,28.3,28.3,27.95,27.95,171.0,
2005-01-05,27.43,28.3,27.43,27.78,75.0,
2005-01-06,27.78,27.95,27.61,27.61,77.0,
2005-01-07,27.61,27.78,26.92,26.92,169.0,
2005-01-10,26.92,26.92,25.19,25.54,269.0,
2005-01-11,25.54,26.23,25.54,25.88,174.0,
2005-01-12,26.05,26.23,25.54,25.54,133.0,
2005-01-13,25.71,25.71,25.02,25.71,166.0,
2005-01-14,25.02,25.71,25.02,25.71,138.0,
2005-01-17,25.71,25.71,24.85,25.19,182.0,
2005-01-18,25.19,25.19,24.5,24.85,161.0,
2005-01-19,25.19,25.36,24.5,25.02,195.0,
2005-01-20,24.67,25.71,24.67,25.54,369.0,
2005-01-21,25.71,27.26,25.54,27.26,863.0,
2005-01-24,27.61,27.95,26.57,26.57,522.0,
2005-01-25,26.57,26.57,25.88,26.05,226.0,
